Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.073529 36.181591 36.181591 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.074172 36.158077 36.158077 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.074855 36.134596 36.134596 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.075578 36.111147 36.111147 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.075833 36.055366 35.327565 0.000000 0.000000 0.000000 0.727801 0.000000 
500.00 1473.15 96.135107 35.240924 33.814790 0.000000 0.000000 0.000000 1.426133 0.000000 
500.00 1463.15 92.335248 33.732861 32.408428 0.000000 0.000000 0.000000 1.324433 0.000000 
500.00 1453.15 88.806987 32.152400 29.385366 0.183711 0.843643 0.000000 1.739681 0.000000 
500.00 1443.15 80.845364 28.947671 24.926146 0.000000 1.199333 0.776163 2.046029 0.000000 
500.00 1433.15 68.997320 24.578186 21.311841 0.000000 0.651380 0.883009 1.731957 0.000000 
500.00 1423.15 59.404635 21.045088 18.539914 0.000000 0.471482 0.678095 1.355597 0.000000 
500.00 1413.15 52.058403 18.327900 16.334023 0.000000 0.352828 0.538159 1.102890 0.000000 
500.00 1403.15 46.222662 16.160499 14.524578 0.000000 0.270846 0.438370 0.926705 0.000000 
500.00 1393.15 41.445970 14.378939 13.000712 0.000000 0.212012 0.364879 0.801335 0.000000 
500.00 1383.15 37.433572 12.875602 11.685061 0.000000 0.168420 0.309522 0.712599 0.000000 
500.00 1373.15 33.980420 11.574933 10.518238 0.000000 0.135219 0.267394 0.654081 0.000000 
500.00 1363.15 30.930292 10.418078 9.443884 0.000000 0.109313 0.235970 0.628912 0.000000 
500.00 1353.15 28.137419 9.345728 8.362935 0.000000 0.088851 0.217055 0.676887 0.000000 
500.00 1343.15 25.351551 8.225687 6.760557 0.000000 0.111745 0.225212 1.128173 0.000000 
500.00 1333.15 21.326661 6.680861 5.957293 0.000000 0.145631 0.110198 0.467739 0.000000 
500.00 1323.15 19.273139 5.906433 5.509061 0.000000 0.123254 0.071888 0.202230 0.000000 
500.00 1313.15 18.110962 5.402679 4.452603 0.000000 0.495921 0.049353 0.183897 0.220905 
500.00 1303.15 14.768742 4.399387 3.964912 0.000000 0.206176 0.066107 0.090718 0.071474 
500.00 1293.15 13.275973 3.919732 3.558508 0.000000 0.170626 0.070609 0.061934 0.058055 
