Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.073529 1.0000000000000000 1.000000 265.348767 -1168615.610064 36.181591 -199.583028 2408.367407 146.320419 -7.007 0.000 2.710592 0.000000 2.118 0 0.000
500.00 1513.15 98.074172 1.0000000000000000 1.000000 264.386179 -1170088.220310 36.158077 -199.762511 2408.511494 146.323718 -7.116 0.000 2.712372 0.000000 2.160 0 0.000
500.00 1503.15 98.074855 1.0000000000000000 1.000000 263.417228 -1171561.476671 36.134596 -199.943226 2408.664446 146.327220 -7.225 0.000 2.714154 0.000000 2.202 0 0.000
500.00 1493.15 98.075578 1.0000000000000000 1.000000 262.441828 -1173035.402989 36.111147 -200.125244 2408.826536 146.330932 -7.336 0.000 2.715936 0.000000 2.245 0 0.000
500.00 1483.15 98.075833 0.9802045844422987 0.979814 261.020194 -1175154.403057 36.055366 -196.653381 2386.616697 145.801933 -7.449 0.000 2.721229 2.667557 2.266 0 0.000
500.00 1473.15 96.135107 0.9604660293683544 0.959532 254.444744 -1151090.665273 35.240924 -188.584947 2326.318429 139.341212 -7.563 0.000 2.730595 2.664970 2.260 0 0.000
500.00 1463.15 92.335248 0.9618138685470427 0.960738 243.426209 -1101212.071498 33.732861 -179.953562 2252.996490 133.829418 -7.679 0.000 2.740316 2.662216 2.253 0 0.000
500.00 1453.15 88.806987 0.9103735754666815 0.913940 231.983209 -1056645.642379 32.152400 -165.507031 2121.952889 127.109413 -7.796 0.000 2.751286 2.876528 2.265 0 0.000
500.00 1443.15 80.845364 0.8534741267328601 0.861076 209.205336 -956049.450347 28.947671 -143.420129 1891.991498 113.910559 -7.915 0.000 2.768155 2.945633 2.261 0 0.000
500.00 1433.15 68.997320 0.8609896932430345 0.867104 177.875096 -804948.192353 24.578186 -123.241782 1643.233618 96.729259 -8.035 0.000 2.787464 2.936413 2.243 0 0.000
500.00 1423.15 59.404635 0.8763498188782215 0.880962 152.593838 -682852.202148 21.045088 -107.318844 1447.956218 82.961434 -8.157 0.000 2.807955 2.932090 2.218 0 0.000
500.00 1413.15 52.058403 0.8879096845817865 0.891211 133.172245 -589671.925086 18.327900 -94.564137 1296.173282 72.399254 -8.281 0.000 2.829870 2.926581 2.184 0 0.000
500.00 1403.15 46.222662 0.8966653548393899 0.898770 117.703601 -515875.774625 16.160499 -84.002739 1174.186929 64.003426 -8.407 0.000 2.853526 2.919703 2.141 0 0.000
500.00 1393.15 41.445970 0.9031943815834225 0.904150 105.013989 -455631.547334 14.378939 -75.002823 1073.385669 57.132440 -8.535 0.000 2.879363 2.911134 2.088 0 0.000
500.00 1383.15 37.433572 0.9077586203576593 0.907535 94.334003 -405139.931070 12.875602 -67.123974 988.005655 51.365097 -8.664 0.000 2.908042 2.900299 2.023 0 0.000
500.00 1373.15 33.980420 0.9102520925779215 0.908708 85.125468 -361763.992743 11.574933 -60.024636 913.893580 46.406429 -8.795 0.000 2.940678 2.886048 1.941 0 0.000
500.00 1363.15 30.930292 0.9097442299653415 0.906490 76.972775 -323501.768889 10.418078 -53.371833 847.611295 42.028199 -8.929 0.000 2.979564 2.865586 1.836 0 0.000
500.00 1353.15 28.137419 0.9011977840739527 0.894840 69.463612 -288512.984548 9.345728 -46.564619 784.782368 38.000512 -9.064 0.000 3.032115 2.828713 1.681 0 0.000
500.00 1343.15 25.351551 0.8413148479646855 0.821884 61.683523 -253893.154521 8.225687 -36.523621 708.392084 33.783998 -9.201 0.000 3.154864 2.745773 1.288 0 0.000
500.00 1333.15 21.326661 0.9036961355649494 0.891695 51.420020 -202159.223309 6.680861 -30.107285 637.994503 28.462859 -9.340 0.000 3.235164 2.838489 1.078 0 0.000
500.00 1323.15 19.273139 0.9390348865834364 0.932722 46.131354 -176519.186937 5.906433 -26.840647 599.397717 25.720047 -9.481 0.000 3.285161 2.956899 0.973 0 0.000
500.00 1313.15 18.110962 0.8150900192901160 0.824147 42.365016 -163462.137511 5.402679 -21.684226 497.516537 23.282755 -9.625 0.000 3.315378 3.524876 0.955 0 0.000
500.00 1303.15 14.768742 0.8984837528548886 0.901242 34.608987 -129464.525891 4.399387 -18.588258 428.338789 19.222482 -9.771 0.000 3.346726 3.450760 0.917 0 0.000
500.00 1293.15 13.275973 0.9047402818137352 0.907845 30.908948 -114233.954618 3.919732 -16.357120 383.978437 17.210216 -9.919 0.000 3.375377 3.501060 0.882 0 0.000
