Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.208887 49.0424 1.34774 15.3345 2.45896 9.57395 0.197844 7.20495 11.069 2.24776 0.345895 0.158845 1.01824
500.00 1513.15 98.209519 49.0421 1.34773 15.3344 2.46537 9.56811 0.197842 7.2049 11.0689 2.24775 0.345893 0.158844 1.01823
500.00 1503.15 98.210189 49.0418 1.34772 15.3343 2.47217 9.56191 0.197841 7.20485 11.0688 2.24773 0.345891 0.158843 1.01822
500.00 1493.15 98.210900 49.0414 1.34771 15.3341 2.47938 9.55534 0.19784 7.2048 11.0687 2.24771 0.345888 0.158842 1.01822
500.00 1483.15 98.211653 49.041 1.3477 15.334 2.487 9.54838 0.197838 7.20475 11.0686 2.2477 0.345886 0.158841 1.01821
500.00 1473.15 98.212447 49.0406 1.34769 15.3339 2.49506 9.54104 0.197836 7.20469 11.0686 2.24768 0.345883 0.158839 1.0182
500.00 1463.15 98.213286 49.0402 1.34768 15.3338 2.50356 9.53329 0.197835 7.20463 11.0685 2.24766 0.34588 0.158838 1.01819
500.00 1453.15 98.214170 49.0398 1.34767 15.3336 2.51252 9.52512 0.197833 7.20456 11.0684 2.24764 0.345877 0.158837 1.01818
500.00 1443.15 98.215101 49.0393 1.34765 15.3335 2.52196 9.51651 0.197831 7.20449 11.0683 2.24762 0.345874 0.158835 1.01817
500.00 1433.15 98.216081 49.0388 1.34764 15.3333 2.53189 9.50746 0.197829 7.20442 11.0681 2.2476 0.34587 0.158833 1.01816
500.00 1423.15 98.217110 49.0383 1.34763 15.3332 2.54233 9.49795 0.197827 7.20435 11.068 2.24757 0.345866 0.158832 1.01815
500.00 1413.15 98.218119 49.0378 1.34761 15.333 2.55256 9.48862 0.197825 7.20427 11.0679 2.24755 0.345863 0.15883 1.01814
500.00 1403.15 98.216734 49.0385 1.34763 15.3332 2.53851 9.50143 0.197828 7.20437 11.0681 2.24758 0.345868 0.158832 1.01816
500.00 1393.15 98.214700 49.0395 1.34766 15.3336 2.51789 9.52022 0.197832 7.20452 11.0683 2.24763 0.345875 0.158836 1.01818
500.00 1383.15 98.212732 49.0405 1.34769 15.3339 2.49794 9.53841 0.197836 7.20467 11.0685 2.24767 0.345882 0.158839 1.0182
500.00 1373.15 98.210809 49.0414 1.34771 15.3342 2.47845 9.55618 0.19784 7.20481 11.0687 2.24772 0.345889 0.158842 1.01822
500.00 1363.15 98.208897 49.0424 1.34774 15.3345 2.45906 9.57385 0.197844 7.20495 11.069 2.24776 0.345895 0.158845 1.01824
500.00 1353.15 98.206942 49.0434 1.34777 15.3348 2.43924 9.59192 0.197848 7.20509 11.0692 2.2478 0.345902 0.158848 1.01826
500.00 1343.15 98.356740 48.9687 1.34571 15.3114 3.95566 8.20948 0.197546 7.19412 11.0523 2.24438 0.345375 0.158606 1.01671
500.00 1333.15 98.383081 48.9556 1.34535 15.3073 4.22184 7.96682 0.197493 7.19219 11.0494 2.24378 0.345283 0.158564 1.01643
500.00 1323.15 98.413321 48.9405 1.34494 15.3026 4.52724 7.68841 0.197433 7.18998 11.046 2.24309 0.345177 0.158515 1.01612
500.00 1313.15 98.424931 48.9348 1.34478 15.3008 4.64444 7.58156 0.197409 7.18913 11.0447 2.24283 0.345136 0.158496 1.016
500.00 1303.15 98.426431 48.934 1.34476 15.3006 4.65958 7.56776 0.197406 7.18902 11.0445 2.24279 0.345131 0.158494 1.01599
500.00 1293.15 98.423932 48.9353 1.34479 15.301 4.63435 7.59075 0.197411 7.18921 11.0448 2.24285 0.34514 0.158498 1.01601
500.00 1283.15 98.418645 48.9379 1.34487 15.3018 4.58099 7.63941 0.197422 7.18959 11.0454 2.24297 0.345158 0.158507 1.01607
500.00 1273.15 98.411478 48.9414 1.34497 15.3029 4.50863 7.70537 0.197436 7.19012 11.0462 2.24313 0.345183 0.158518 1.01614
500.00 1263.15 98.403118 48.9456 1.34508 15.3042 4.42422 7.78232 0.197453 7.19073 11.0471 2.24332 0.345213 0.158532 1.01623
500.00 1253.15 98.394069 48.9501 1.3452 15.3056 4.33283 7.86564 0.197471 7.19139 11.0481 2.24353 0.345244 0.158546 1.01632
500.00 1243.15 98.383980 48.9551 1.34534 15.3072 4.23092 7.95854 0.197491 7.19213 11.0493 2.24376 0.34528 0.158562 1.01643
500.00 1233.15 98.373890 48.9601 1.34548 15.3087 4.12898 8.05148 0.197512 7.19286 11.0504 2.24399 0.345315 0.158579 1.01653
500.00 1223.15 98.363927 48.9651 1.34562 15.3103 4.02831 8.14326 0.197532 7.19359 11.0515 2.24422 0.34535 0.158595 1.01663
500.00 1213.15 98.354013 48.97 1.34575 15.3118 3.9281 8.23461 0.197552 7.19432 11.0526 2.24444 0.345385 0.158611 1.01674
500.00 1203.15 98.340396 48.9768 1.34594 15.314 3.79043 8.36011 0.197579 7.19531 11.0542 2.24475 0.345433 0.158633 1.01688
500.00 1193.15 98.327140 48.9834 1.34612 15.316 3.65639 8.48232 0.197606 7.19628 11.0556 2.24506 0.345479 0.158654 1.01701
500.00 1183.15 98.314278 48.9898 1.34629 15.318 3.52629 8.60092 0.197632 7.19723 11.0571 2.24535 0.345525 0.158675 1.01715
500.00 1173.15 98.301816 48.996 1.34647 15.32 3.4002 8.71586 0.197657 7.19814 11.0585 2.24563 0.345568 0.158695 1.01728
500.00 1163.15 98.289197 49.0023 1.34664 15.3219 3.2725 8.83229 0.197682 7.19906 11.0599 2.24592 0.345613 0.158715 1.01741
