Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.208887 37.759489 37.759489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.209519 37.722944 37.722944 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.210189 37.686459 37.686459 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.210900 37.650036 37.650036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.211653 37.613675 37.613675 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.212447 37.577379 37.577379 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.213286 37.541149 37.541149 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.214170 37.504987 37.504987 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.215101 37.468894 37.468894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.216081 37.432872 37.432872 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.217110 37.396922 37.396922 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.218119 37.212379 36.293540 0.039595 0.000000 0.879244 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.216734 36.936429 33.700385 0.269409 0.000000 1.992090 0.974544 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.214700 36.690667 31.240182 0.520134 0.000000 2.895690 2.034660 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.212732 36.472500 29.083731 0.749907 0.000000 3.677303 2.961559 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.210809 36.276357 27.168874 0.966070 0.000000 4.360833 3.780580 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.208897 36.098106 25.448719 1.174969 0.000000 4.963405 4.511012 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.206942 35.934668 23.887278 1.382319 0.000000 5.497034 5.168037 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.356740 35.709030 20.603375 1.047281 0.000000 6.898669 6.104065 0.000000 1.055640 0.000000 0.000000 0.000000 
500.00 1333.15 98.383081 35.544884 18.999037 0.826100 0.432917 7.270287 6.772169 0.000000 1.244374 0.000000 0.000000 0.000000 
500.00 1323.15 98.413321 36.041519 16.572854 0.172986 1.661189 7.474058 7.857400 0.000000 1.442422 0.000000 0.000000 0.860609 
500.00 1313.15 98.424931 37.275895 13.938174 0.000000 2.318599 7.547822 9.390752 0.000000 1.564727 0.000000 0.000000 2.515822 
500.00 1303.15 98.426431 38.239509 11.916266 0.000000 2.658758 7.573495 10.662178 0.000000 1.629598 0.000000 0.000000 3.799215 
500.00 1293.15 98.423932 39.026211 10.240164 0.000000 2.942869 7.581755 11.736562 0.000000 1.666942 0.000000 0.000000 4.857921 
500.00 1283.15 98.418645 39.656857 8.856030 0.000000 3.185386 7.578334 12.633627 0.000000 1.684357 0.000000 0.000000 5.719123 
500.00 1273.15 98.411478 40.152547 7.717541 0.000000 3.397016 7.565684 13.375248 0.000000 1.687503 0.000000 0.000000 6.409555 
500.00 1263.15 98.403118 40.534724 6.782307 0.000000 3.585447 7.545307 13.984842 0.000000 1.680664 0.000000 0.000000 6.956158 
500.00 1253.15 98.394069 40.823854 6.012120 0.000000 3.756061 7.518595 14.485425 0.000000 1.667011 0.000000 0.000000 7.384641 
500.00 1243.15 98.383980 41.047141 5.337602 0.000000 3.920560 7.485059 14.910362 0.000000 1.647273 0.000000 0.013987 7.732299 
500.00 1233.15 98.373890 41.206578 4.779923 0.000000 4.071800 7.448009 15.259420 0.000000 1.624626 0.000000 0.024839 7.997960 
500.00 1223.15 98.363927 41.316028 4.312813 0.000000 4.212358 7.408643 15.548906 0.000000 1.600174 0.000000 0.033717 8.199417 
500.00 1213.15 98.354013 41.387345 3.915346 0.002107 4.342660 7.367747 15.792469 0.000000 1.574141 0.000000 0.041157 8.351719 
500.00 1203.15 98.340396 41.459076 3.532043 0.048985 4.442293 7.320184 16.028254 0.000000 1.535316 0.000000 0.049494 8.502506 
500.00 1193.15 98.327140 41.502501 3.195040 0.087898 4.545766 7.272693 16.229839 0.000000 1.496190 0.000000 0.056782 8.618293 
500.00 1183.15 98.314278 41.522132 2.896522 0.120204 4.651724 7.225896 16.402970 0.000000 1.456966 0.000000 0.063184 8.704666 
500.00 1173.15 98.301816 41.521665 2.630032 0.147046 4.759235 7.180288 16.552278 0.000000 1.417700 0.000000 0.068836 8.766249 
500.00 1163.15 98.289197 41.512638 2.368336 0.170498 4.874490 7.135940 16.694083 0.000000 1.366736 0.008683 0.074333 8.819540 
500.00 1153.15 98.273625 41.533047 2.010858 0.195408 5.028571 7.090921 16.887154 0.000000 1.253248 0.063534 0.081784 8.921570 
500.00 1143.15 98.258080 41.533730 1.682652 0.215439 5.181514 7.046789 17.060679 0.000000 1.146111 0.112953 0.088428 8.999164 
500.00 1133.15 98.242625 41.517376 1.378918 0.231545 5.332179 7.003715 17.218501 0.000000 1.045008 0.157505 0.094412 9.055592 
500.00 1123.15 98.227308 41.486273 1.095471 0.244481 5.479753 6.961818 17.363917 0.000000 0.949622 0.197687 0.099861 9.093663 
500.00 1113.15 98.212163 41.442400 0.828561 0.254851 5.623730 6.921174 17.499805 0.000000 0.859606 0.233945 0.104889 9.115840 
500.00 1103.15 98.197198 41.387487 0.574717 0.263144 5.763907 6.881817 17.628726 0.000000 0.774549 0.266697 0.109599 9.124330 
500.00 1093.15 98.180715 41.330870 0.302426 0.270301 5.914087 6.842051 17.747519 0.021143 0.685319 0.299067 0.114611 9.134344 
500.00 1083.15 98.161835 41.276339 0.000000 0.276759 6.081200 6.802215 17.759724 0.165357 0.587558 0.332150 0.120178 9.151197 
500.00 1073.15 98.161812 41.137643 0.000000 0.276809 6.094619 6.781775 17.720139 0.199422 0.586511 0.334785 0.120178 9.023406 
500.00 1063.15 98.161788 40.997653 0.000000 0.276729 6.107157 6.762531 17.681815 0.232045 0.585525 0.337324 0.120178 8.894349 
500.00 1053.15 98.161763 40.856292 0.000000 0.276518 6.118915 6.744407 17.644675 0.263281 0.584596 0.339764 0.120178 8.763959 
