Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.271532 37.675974 37.675974 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.272180 37.639248 37.639248 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.272869 37.602584 37.602584 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.273599 37.565982 37.565982 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.274372 37.529443 37.529443 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.275188 37.492970 37.492970 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.276050 37.456565 37.456565 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.276958 37.420227 37.420227 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.277914 37.383961 37.383961 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.278920 37.347766 37.347766 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.279224 37.305496 37.222861 0.082635 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.006507 37.152644 36.814577 0.234495 0.000000 0.103573 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 96.894483 36.534894 34.031917 0.269579 0.000000 1.075911 1.157487 0.000000 0.000000 0.000000 
500.00 1393.15 89.396902 33.792607 31.612017 0.246219 0.000000 0.882404 1.051966 0.000000 0.000000 0.000000 
500.00 1383.15 82.879081 31.405428 29.537767 0.215930 0.000000 0.743659 0.908072 0.000000 0.000000 0.000000 
500.00 1373.15 77.291254 29.357330 27.738523 0.192397 0.000000 0.632871 0.793539 0.000000 0.000000 0.000000 
500.00 1363.15 72.442996 27.579308 26.161305 0.174092 0.000000 0.542939 0.700972 0.000000 0.000000 0.000000 
500.00 1353.15 68.191311 26.019527 24.765521 0.159972 0.000000 0.468945 0.625089 0.000000 0.000000 0.000000 
500.00 1343.15 64.603036 24.538533 21.031573 0.000000 0.000000 1.383001 0.947264 1.176695 0.000000 0.000000 
500.00 1333.15 52.129847 20.923256 19.785357 0.000000 0.000000 0.458503 0.497201 0.182195 0.000000 0.000000 
500.00 1323.15 48.477038 19.688154 18.614724 0.000000 0.136330 0.228601 0.570258 0.138240 0.000000 0.000000 
500.00 1313.15 45.132248 18.673251 17.492503 0.000000 0.141921 0.160973 0.594267 0.114551 0.000000 0.169036 
500.00 1303.15 42.034091 18.346308 15.999856 0.000000 0.209934 0.079471 0.876504 0.109581 0.000000 1.070961 
500.00 1293.15 38.247231 17.630823 14.771861 0.000000 0.164907 0.052427 0.745253 0.085569 0.000000 1.810807 
500.00 1283.15 35.158719 17.047365 13.739845 0.000000 0.131603 0.036105 0.643846 0.068305 0.000000 2.427663 
500.00 1273.15 32.584286 16.556916 12.858235 0.000000 0.106200 0.026225 0.562849 0.055471 0.000000 2.947936 
500.00 1263.15 30.401904 16.134452 12.095546 0.000000 0.086352 0.020316 0.496370 0.045673 0.000000 3.390195 
500.00 1253.15 28.527426 15.763354 11.429097 0.000000 0.070574 0.016863 0.440718 0.038033 0.000000 3.768071 
500.00 1243.15 26.900424 15.432115 10.841975 0.000000 0.057871 0.014922 0.393446 0.031973 0.000000 4.091928 
500.00 1233.15 25.476023 15.132488 10.321199 0.000000 0.047549 0.013897 0.352860 0.027100 0.000000 4.369882 
500.00 1223.15 24.219939 14.858376 9.856559 0.000000 0.039099 0.013413 0.317735 0.023136 0.000000 4.608434 
500.00 1213.15 23.105365 14.605158 9.439867 0.000000 0.032145 0.013232 0.287146 0.019880 0.000000 4.812888 
500.00 1203.15 22.110930 14.369245 9.064452 0.000000 0.026393 0.013206 0.260373 0.017183 0.000000 4.987637 
500.00 1193.15 21.219334 14.147802 8.724813 0.000000 0.021618 0.013246 0.236841 0.014932 0.000000 5.136352 
500.00 1183.15 20.416392 13.938550 8.416361 0.000000 0.017639 0.013299 0.216077 0.013042 0.000000 5.262132 
500.00 1173.15 19.690353 13.739635 8.135243 0.000000 0.014314 0.013335 0.197692 0.011444 0.000000 5.367608 
500.00 1163.15 19.031395 13.549531 7.878194 0.000000 0.011528 0.013338 0.181359 0.010086 0.000000 5.455027 
500.00 1153.15 18.431240 13.367344 7.639520 0.000000 0.009562 0.012945 0.167186 0.008933 0.002153 5.527044 
500.00 1143.15 17.876163 13.189546 7.418293 0.000000 0.007771 0.012663 0.154292 0.007936 0.003681 5.584909 
500.00 1133.15 17.362015 13.015562 7.214776 0.000000 0.005993 0.012628 0.142450 0.007073 0.003157 5.629485 
