Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.271532 1.0000000000000000 1.000000 275.288069 -1166505.158250 37.675974 -370.239983 3731.436756 147.841742 -7.007 0.000 2.608334 0.000000 1.789 0.386812 0.000
500.00 1513.15 98.272180 1.0000000000000000 1.000000 274.315525 -1167993.025915 37.639248 -369.143582 3728.765387 147.841652 -7.116 0.000 2.610896 0.000000 1.828 0.385875 0.000
500.00 1503.15 98.272869 1.0000000000000000 1.000000 273.336578 -1169481.510173 37.602584 -368.050178 3726.036674 147.841761 -7.225 0.000 2.613461 0.000000 1.867 0.384928 0.000
500.00 1493.15 98.273599 1.0000000000000000 1.000000 272.351141 -1170970.635046 37.565982 -366.959843 3723.250894 147.842076 -7.336 0.000 2.616026 0.000000 1.908 0.383972 0.000
500.00 1483.15 98.274372 1.0000000000000000 1.000000 271.359123 -1172460.425570 37.529443 -365.872653 3720.408333 147.842604 -7.449 0.000 2.618594 0.000000 1.948 0.383007 0.000
500.00 1473.15 98.275188 1.0000000000000000 1.000000 270.375540 -1173928.598335 37.492970 -364.788685 3717.509291 144.583875 -7.563 0.000 2.621163 0.000000 1.990 0.382032 0.000
500.00 1463.15 98.276050 1.0000000000000000 1.000000 269.392315 -1175387.158022 37.456565 -363.708022 3714.554080 144.576415 -7.679 0.000 2.623734 0.000000 2.031 0.381047 0.000
500.00 1453.15 98.276958 1.0000000000000000 1.000000 268.402441 -1176846.373215 37.420227 -362.630749 3711.543025 144.568640 -7.796 0.000 2.626306 0.000000 2.074 0.380052 0.000
500.00 1443.15 98.277914 1.0000000000000000 1.000000 267.405828 -1178306.267519 37.383961 -361.556955 3708.476468 144.560546 -7.915 0.000 2.628879 0.000000 2.117 0.379048 0.000
500.00 1433.15 98.278920 1.0000000000000000 1.000000 266.402383 -1179766.865717 37.347766 -360.486732 3705.354763 144.552132 -8.035 0.000 2.631454 0.000000 2.160 0.378034 0.000
500.00 1423.15 98.279224 0.9972259677836981 0.997785 265.314555 -1181325.620378 37.305496 -359.250177 3696.396663 144.401039 -8.157 0.000 2.632968 3.299199 2.214 0.377509 0.000
500.00 1413.15 98.006507 0.9886544026103292 0.990901 263.342228 -1179881.988143 37.152644 -357.258026 3668.400191 143.528604 -8.281 0.000 2.631962 3.289112 2.286 0.379512 0.000
500.00 1403.15 96.894483 0.9226121394971137 0.931491 257.810385 -1170291.594081 36.534894 -345.365249 3546.327556 139.628822 -8.407 0.000 2.626829 2.995815 2.334 0.428179 0.000
500.00 1393.15 89.396902 0.9270794760151703 0.935471 237.698501 -1075452.588639 33.792607 -332.320084 3368.945869 128.414575 -8.535 0.000 2.621726 2.989499 2.380 0.478896 0.000
500.00 1383.15 82.879081 0.9325640328762894 0.940531 220.225467 -993111.894965 31.405428 -320.877050 3215.554186 118.704056 -8.664 0.000 2.616652 2.992529 2.427 0.52978 0.000
500.00 1373.15 77.291254 0.9372555263497012 0.944859 205.212906 -922779.153382 29.357330 -310.788958 3082.437970 110.375363 -8.795 0.000 2.611590 2.995787 2.475 0.58064 0.000
500.00 1363.15 72.442996 0.9412897397511921 0.948585 192.160420 -861991.374630 27.579308 -301.793069 2965.510797 103.148017 -8.929 0.000 2.606516 2.999393 2.524 0.631331 0.000
500.00 1353.15 68.191311 0.9447658845264532 0.951805 180.691671 -808903.795580 26.019527 -293.689412 2861.655381 96.810677 -9.064 0.000 2.601392 3.003563 2.574 0.68174 0.000
500.00 1343.15 64.603036 0.8064708188140379 0.857084 168.234774 -768221.833101 24.538533 -278.640220 2523.605005 88.076787 -9.201 0.000 2.477250 3.565074 3.176 0.80918 0.000
500.00 1333.15 52.129847 0.9295074087305323 0.945616 139.293324 -646727.875377 20.923256 -269.796864 2322.628708 73.377724 -9.340 0.000 2.449037 3.229432 3.339 0.872745 0.000
500.00 1323.15 48.477038 0.9306052502074962 0.945478 129.738709 -606521.398016 19.688154 -262.740739 2222.620126 68.171473 -9.481 0.000 2.423511 3.133928 3.481 0.943058 0.000
500.00 1313.15 45.132248 0.9306496769382795 0.936768 120.942294 -568548.543085 18.673251 -595.343306 2271.571514 63.355702 -9.625 0.000 2.401161 2.650806 3.624 0.999965 0.000
500.00 1303.15 42.034091 0.9074118678086115 0.872102 112.615944 -532983.579757 18.346308 -2401.806223 2931.517384 58.669341 -9.771 0.000 2.383911 1.658614 3.821 0.999998 0.000
500.00 1293.15 38.247231 0.9148881797872533 0.837843 102.906132 -487431.310096 17.630823 -3888.131495 3482.395900 53.350808 -9.919 0.000 2.368824 1.138627 4.006 1.00003 0.000
