Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.111287 48.0781 1.38737 15.4215 2.44082 9.50897 0.192924 7.07781 11.1014 2.26569 0.332702 0.155415 2.03731
500.00 1513.15 100.111922 48.0778 1.38736 15.4214 2.44714 9.50321 0.192923 7.07777 11.1013 2.26568 0.3327 0.155414 2.0373
500.00 1503.15 100.112597 48.0775 1.38735 15.4213 2.45385 9.49709 0.192922 7.07772 11.1012 2.26566 0.332698 0.155413 2.03728
500.00 1493.15 100.113312 48.0771 1.38734 15.4212 2.46096 9.49061 0.19292 7.07767 11.1011 2.26565 0.332696 0.155412 2.03727
500.00 1483.15 100.114069 48.0768 1.38733 15.4211 2.46848 9.48374 0.192919 7.07761 11.1011 2.26563 0.332693 0.155411 2.03725
500.00 1473.15 100.114869 48.0764 1.38732 15.421 2.47644 9.47649 0.192917 7.07756 11.101 2.26561 0.332691 0.15541 2.03724
500.00 1463.15 100.115713 48.076 1.38731 15.4208 2.48484 9.46884 0.192916 7.0775 11.1009 2.26559 0.332688 0.155408 2.03722
500.00 1453.15 100.116603 48.0756 1.3873 15.4207 2.49369 9.46077 0.192914 7.07743 11.1008 2.26557 0.332685 0.155407 2.0372
500.00 1443.15 100.117541 48.0751 1.38729 15.4205 2.50301 9.45227 0.192912 7.07737 11.1007 2.26555 0.332682 0.155406 2.03718
500.00 1433.15 100.118527 48.0746 1.38727 15.4204 2.51282 9.44333 0.19291 7.0773 11.1006 2.26553 0.332678 0.155404 2.03716
500.00 1423.15 100.119564 48.0741 1.38726 15.4202 2.52313 9.43393 0.192908 7.07722 11.1005 2.26551 0.332675 0.155402 2.03714
500.00 1413.15 100.120653 48.0736 1.38724 15.4201 2.53395 9.42406 0.192906 7.07715 11.1003 2.26548 0.332671 0.155401 2.03712
500.00 1403.15 100.120832 48.0735 1.38724 15.42 2.53574 9.42244 0.192906 7.07714 11.1003 2.26548 0.332671 0.1554 2.03711
500.00 1393.15 100.119835 48.074 1.38725 15.4202 2.52582 9.43148 0.192908 7.07721 11.1004 2.2655 0.332674 0.155402 2.03713
