Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 water 
500.00 1523.15 100.111287 42.444265 39.566592 0.000000 0.000000 2.877673 
500.00 1513.15 100.111922 42.322344 39.526275 0.000000 0.000000 2.796069 
500.00 1503.15 100.112597 42.200260 39.486074 0.000000 0.000000 2.714187 
500.00 1493.15 100.113312 42.078014 39.445990 0.000000 0.000000 2.632024 
500.00 1483.15 100.114069 41.955609 39.406027 0.000000 0.000000 2.549581 
500.00 1473.15 100.114869 41.833045 39.366189 0.000000 0.000000 2.466857 
500.00 1463.15 100.115713 41.710326 39.326477 0.000000 0.000000 2.383850 
500.00 1453.15 100.116603 41.587455 39.286895 0.000000 0.000000 2.300560 
500.00 1443.15 100.117541 41.464434 39.247447 0.000000 0.000000 2.216988 
500.00 1433.15 100.118527 41.341268 39.208134 0.000000 0.000000 2.133133 
500.00 1423.15 100.119564 41.217960 39.168962 0.000000 0.000000 2.048998 
500.00 1413.15 100.120653 41.094516 39.129933 0.000000 0.000000 1.964584 
500.00 1403.15 100.120832 40.981552 38.975860 0.104794 0.000000 1.900898 
500.00 1393.15 100.119835 40.909109 38.579798 0.336014 0.083261 1.910035 
