Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.098244 1.0000000000000000 1.000000 265.233471 -1162709.604293 36.066456 -198.469607 2424.104948 146.146485 -7.007 0.000 2.719930 0.000000 2.072 0 0.000
500.00 1513.15 98.098914 1.0000000000000000 1.000000 264.272086 -1164180.870997 36.042808 -198.634063 2424.254915 146.149919 -7.116 0.000 2.721733 0.000000 2.114 0 0.000
500.00 1503.15 98.099624 1.0000000000000000 1.000000 263.304350 -1165652.810994 36.019194 -198.799801 2424.414110 146.153564 -7.225 0.000 2.723537 0.000000 2.156 0 0.000
500.00 1493.15 98.100377 1.0000000000000000 1.000000 262.330172 -1167125.449136 35.995613 -198.966896 2424.582817 146.157427 -7.336 0.000 2.725343 0.000000 2.199 0 0.000
500.00 1483.15 98.100553 0.9784337003992227 0.977936 260.869064 -1169301.854505 35.936859 -195.155485 2400.310105 145.579758 -7.449 0.000 2.731192 2.668226 2.216 0 0.000
500.00 1473.15 95.985520 0.9604191679214964 0.959345 253.867669 -1142834.257153 35.057336 -186.990437 2338.442648 138.978919 -7.563 0.000 2.741023 2.665631 2.209 0 0.000
500.00 1463.15 92.186983 0.9617487400962210 0.960529 242.854936 -1092971.606250 33.550138 -178.351014 2265.098930 133.467227 -7.679 0.000 2.751226 2.662855 2.199 0 0.000
500.00 1453.15 88.659485 0.9292940920428557 0.931028 231.844471 -1047789.354040 32.031263 -166.196032 2156.981424 127.326345 -7.796 0.000 2.762749 2.837497 2.199 0 0.000
500.00 1443.15 82.388423 0.8598216071236434 0.866767 213.137810 -969052.232857 29.395987 -145.356683 1949.508139 116.220126 -7.915 0.000 2.780252 2.948809 2.192 0 0.000
500.00 1433.15 70.837879 0.8602646613226241 0.865895 182.464549 -821985.307458 25.120420 -124.809235 1699.780932 99.328259 -8.035 0.000 2.801595 2.938329 2.164 0 0.000
500.00 1423.15 60.937620 0.8754953101217845 0.879570 156.378198 -696030.214393 21.476017 -108.365974 1498.074069 85.115834 -8.157 0.000 2.824329 2.933468 2.128 0 0.000
500.00 1413.15 53.349394 0.8868213678092392 0.889515 136.319741 -599814.847059 18.670301 -95.159164 1341.119169 74.202274 -8.281 0.000 2.848795 2.927102 2.083 0 0.000
500.00 1403.15 47.310487 0.8952169272962897 0.896613 120.313517 -523466.105036 16.427581 -84.175954 1214.711508 65.510694 -8.407 0.000 2.875457 2.918842 2.027 0 0.000
500.00 1393.15 42.352412 0.9011674906517013 0.901262 107.140771 -460933.790606 14.577581 -74.750907 1109.878784 58.374986 -8.535 0.000 2.905005 2.908105 1.958 0 0.000
500.00 1383.15 38.165881 0.9047171252517043 0.903385 95.992715 -408233.067826 13.007003 -66.400587 1020.497620 52.352302 -8.664 0.000 2.938584 2.893787 1.874 0 0.000
500.00 1373.15 34.528372 0.9050914791952588 0.901959 86.280820 -362505.879767 11.632872 -58.697420 941.847533 47.119702 -8.795 0.000 2.978480 2.873343 1.765 0 0.000
500.00 1363.15 31.249602 0.8979338255235707 0.891729 77.476930 -321336.192479 10.379753 -50.990623 868.726190 42.383841 -8.929 0.000 3.031580 2.838092 1.608 0 0.000
