Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.192143 49.5462 1.36162 15.4921 2.49455 9.66309 0.199914 7.27899 11.1827 2.27085 0.349519 0.160502 0
500.00 1513.15 98.192784 49.5459 1.36161 15.492 2.50104 9.65717 0.199913 7.27895 11.1826 2.27084 0.349517 0.160501 0
500.00 1503.15 98.193464 49.5456 1.3616 15.4919 2.50793 9.65088 0.199911 7.2789 11.1825 2.27082 0.349514 0.160499 0
500.00 1493.15 98.194184 49.5452 1.36159 15.4918 2.51524 9.64422 0.19991 7.27884 11.1824 2.27081 0.349512 0.160498 0
500.00 1483.15 98.194912 49.5448 1.36158 15.4916 2.52262 9.63749 0.199909 7.27879 11.1824 2.27079 0.349509 0.160497 0
500.00 1473.15 98.194642 49.545 1.36158 15.4917 2.51988 9.63999 0.199909 7.27881 11.1824 2.2708 0.34951 0.160498 0
500.00 1463.15 98.194341 49.5451 1.36159 15.4917 2.51683 9.64277 0.19991 7.27883 11.1824 2.2708 0.349511 0.160498 0
500.00 1453.15 98.190975 49.5468 1.36163 15.4923 2.4827 9.67389 0.199917 7.27908 11.1828 2.27088 0.349523 0.160504 0
500.00 1443.15 98.184850 49.5499 1.36172 15.4932 2.42059 9.73052 0.199929 7.27953 11.1835 2.27102 0.349545 0.160514 0
500.00 1433.15 98.178819 49.553 1.3618 15.4942 2.35942 9.78629 0.199941 7.27998 11.1842 2.27116 0.349566 0.160523 0
500.00 1423.15 98.173156 49.5558 1.36188 15.4951 2.30199 9.83866 0.199953 7.2804 11.1848 2.27129 0.349586 0.160533 0
500.00 1413.15 98.167520 49.5587 1.36196 15.496 2.24482 9.89078 0.199964 7.28082 11.1855 2.27142 0.349606 0.160542 0
500.00 1403.15 98.161387 49.5618 1.36204 15.4969 2.18259 9.94752 0.199977 7.28127 11.1862 2.27157 0.349628 0.160552 0
500.00 1393.15 98.153819 49.5656 1.36215 15.4981 2.10581 10.0175 0.199992 7.28184 11.187 2.27174 0.349655 0.160564 0
500.00 1383.15 98.144359 49.5703 1.36228 15.4996 2.0098 10.1051 0.200011 7.28254 11.1881 2.27196 0.349689 0.16058 0
500.00 1373.15 98.137194 49.574 1.36238 15.5007 1.93708 10.1714 0.200026 7.28307 11.1889 2.27213 0.349714 0.160592 0
500.00 1363.15 98.134628 49.5753 1.36241 15.5012 1.91103 10.1951 0.200031 7.28326 11.1892 2.27218 0.349724 0.160596 0
500.00 1353.15 98.135136 49.575 1.36241 15.5011 1.91618 10.1904 0.20003 7.28322 11.1892 2.27217 0.349722 0.160595 0
500.00 1343.15 98.137594 49.5738 1.36237 15.5007 1.94113 10.1677 0.200025 7.28304 11.1889 2.27212 0.349713 0.160591 0
500.00 1333.15 98.141310 49.5719 1.36232 15.5001 1.97886 10.1333 0.200018 7.28276 11.1885 2.27203 0.3497 0.160585 0
500.00 1323.15 98.157936 49.5635 1.36209 15.4975 2.14758 9.97944 0.199984 7.28153 11.1866 2.27165 0.349641 0.160558 0
500.00 1313.15 98.173302 49.5557 1.36188 15.495 2.30347 9.83731 0.199953 7.28039 11.1848 2.27129 0.349586 0.160532 0
500.00 1303.15 98.173313 49.5557 1.36188 15.495 2.30358 9.83721 0.199953 7.28039 11.1848 2.27129 0.349586 0.160532 0
500.00 1293.15 98.173352 49.5557 1.36188 15.495 2.30397 9.83685 0.199952 7.28039 11.1848 2.27129 0.349586 0.160532 0
