Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.192143 49.5462 1.36162 15.4921 2.49455 9.66309 0.199914 7.27899 11.1827 2.27085 0.349519 0.160502 0
500.00 1513.15 98.192784 49.5459 1.36161 15.492 2.50104 9.65717 0.199913 7.27895 11.1826 2.27084 0.349517 0.160501 0
500.00 1503.15 98.193464 49.5456 1.3616 15.4919 2.50793 9.65088 0.199911 7.2789 11.1825 2.27082 0.349514 0.160499 0
500.00 1493.15 98.194184 49.5452 1.36159 15.4918 2.51524 9.64422 0.19991 7.27884 11.1824 2.27081 0.349512 0.160498 0
500.00 1483.15 98.064838 49.5461 1.36338 15.4684 2.52596 9.65028 0.200174 7.28844 11.1761 2.27055 0.349908 0.16071 0
500.00 1473.15 94.233834 49.5701 1.41881 14.7658 2.6258 10.0452 0.208312 7.58475 10.9964 2.25575 0.361854 0.167244 0
500.00 1463.15 90.602036 49.5622 1.47568 14.067 2.72773 10.4508 0.216662 7.88879 10.8378 2.22596 0.373431 0.173948 0
500.00 1453.15 82.312815 49.4914 1.61267 13.4834 2.88426 11.191 0.235733 7.79986 10.4613 2.24356 0.405295 0.191465 0
500.00 1443.15 68.155853 48.9432 1.91382 12.8654 3.15854 12.4843 0.288016 7.27575 10.0466 2.31817 0.474949 0.231235 0
500.00 1433.15 57.349530 48.3527 2.23367 12.2311 3.41671 13.7563 0.342287 6.798 9.72769 2.32433 0.54236 0.274806 0
500.00 1423.15 48.489184 47.597 2.59062 11.5717 3.67101 15.0764 0.404833 6.40003 9.49029 2.2657 0.607397 0.325021 0
500.00 1413.15 40.943872 46.6196 3.00454 10.8585 3.92948 16.5006 0.479437 6.08086 9.34196 2.1342 0.665878 0.384917 0
500.00 1403.15 34.278024 45.3111 3.51217 10.0343 4.2056 18.1329 0.57267 5.84841 9.30215 1.91275 0.708206 0.45977 0
500.00 1393.15 28.151305 43.4515 4.18879 8.98206 4.5239 20.1833 0.697303 5.72248 9.40783 1.57159 0.71146 0.559832 0
500.00 1383.15 22.551864 40.8501 5.12714 7.61145 4.89436 22.8254 0.870438 5.69884 9.65769 1.12613 0.639627 0.698834 0
500.00 1373.15 18.374543 38.3091 6.12522 6.38621 5.20329 25.2307 1.06833 5.65442 9.84346 0.785432 0.536102 0.857708 0
500.00 1363.15 15.562857 36.4566 6.94517 5.60627 5.39824 26.8 1.26134 5.5523 9.89358 0.606223 0.467606 1.01267 0
500.00 1353.15 13.420986 35.0772 7.61241 5.1062 5.52632 27.7884 1.46263 5.42775 9.89115 0.505497 0.428145 1.17428 0
500.00 1343.15 11.571692 33.9716 8.17016 4.76068 5.61836 28.3949 1.69638 5.29182 9.88962 0.439329 0.405225 1.36194 0
500.00 1333.15 9.832241 33.0227 8.63368 4.50424 5.68964 28.6995 1.99649 5.14482 9.92622 0.388355 0.391382 1.60289 0
500.00 1323.15 5.500075 31.5308 6.47541 3.77287 5.96025 30.0497 3.06932 5.31703 10.2719 0.401431 0.285825 2.86542 0
500.00 1313.15 0.813233 16.7037 3.12759 1.65555 7.6669 17.0651 2.66859 5.64508 25.7658 1.28017e-031 0.322339 19.3794 0
500.00 1303.15 0.810201 16.7662 3.1393 1.66175 7.70858 17.1172 2.67857 5.6662 25.6585 1.28496e-031 0.323546 19.2801 0
500.00 1293.15 0.810240 16.7654 3.13914 1.66167 7.75649 17.0729 2.67844 5.66593 25.6573 1.2849e-031 0.32353 19.2792 0
