Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.192143 1.0000000000000000 1.000000 265.587876 -1170906.548305 36.279179 -200.684543 2390.939960 146.425044 -7.007 0.000 2.706570 0.000000 2.155 0 0.000
500.00 1513.15 98.192784 1.0000000000000000 1.000000 264.624587 -1172380.167149 36.255837 -200.876798 2391.083411 146.428329 -7.116 0.000 2.708330 0.000000 2.197 0 0.000
500.00 1503.15 98.193464 1.0000000000000000 1.000000 263.654932 -1173854.429536 36.232527 -201.070279 2391.235689 146.431816 -7.225 0.000 2.710092 0.000000 2.240 0 0.000
500.00 1493.15 98.194184 1.0000000000000000 1.000000 262.678821 -1175329.359218 36.209250 -201.265057 2391.397065 146.435511 -7.336 0.000 2.711854 0.000000 2.283 0 0.000
500.00 1483.15 98.194912 0.9986753508707479 0.998652 261.666716 -1176848.072091 36.183838 -201.216335 2390.068088 146.403712 -7.449 0.000 2.713841 2.667614 2.326 0 0.000
500.00 1473.15 98.194642 0.9596637017213576 0.958827 259.831278 -1179556.650007 36.096118 -194.126158 2346.316859 142.173710 -7.563 0.000 2.722738 2.665111 2.323 0 0.000
500.00 1463.15 98.194341 0.9226808274903029 0.920814 258.051074 -1182165.252934 36.010462 -187.270945 2305.318967 141.325604 -7.679 0.000 2.732356 2.662547 2.316 0 0.000
500.00 1453.15 98.190975 0.8382930769397941 0.839459 255.084509 -1186430.088745 35.736945 -173.958982 2203.468517 138.897777 -7.796 0.000 2.743788 2.767558 2.325 0 0.000
500.00 1443.15 98.184850 0.6941585470373444 0.700229 250.860295 -1192443.190798 35.206622 -150.734333 2036.019382 134.873891 -7.915 0.000 2.764641 2.845291 2.299 0 0.000
500.00 1433.15 98.178819 0.5841334315590298 0.591126 247.420014 -1197288.010885 34.808575 -132.826043 1905.692428 131.811444 -8.035 0.000 2.787169 2.868775 2.267 0 0.000
500.00 1423.15 98.173156 0.4939148931641284 0.499822 244.453705 -1201427.927083 34.478698 -117.818903 1798.693378 129.347978 -8.157 0.000 2.813707 2.880982 2.211 0 0.000
500.00 1413.15 98.167520 0.4170816540842434 0.420706 241.805955 -1205086.982812 34.195164 -104.750986 1707.368278 127.291500 -8.281 0.000 2.846071 2.888761 2.126 0 0.000
500.00 1403.15 98.161387 0.3492006856784503 0.349694 239.368640 -1208414.853550 33.943322 -92.927230 1626.542551 125.513528 -8.407 0.000 2.887839 2.894115 1.996 0 0.000
500.00 1393.15 98.153819 0.2868080434378158 0.283404 237.053856 -1211522.690986 33.712116 -81.773246 1552.302378 123.917905 -8.535 0.000 2.946501 2.897699 1.794 0 0.000
500.00 1383.15 98.144359 0.2297825841102164 0.222193 234.842517 -1214431.823040 33.500036 -71.435325 1483.699540 122.471136 -8.664 0.000 3.029749 2.901093 1.498 0 0.000
500.00 1373.15 98.137194 0.1872332190107806 0.177107 232.943241 -1216928.421143 33.332651 -64.019910 1428.438813 121.322870 -8.795 0.000 3.112504 2.907948 1.220 0 0.000
500.00 1363.15 98.134628 0.1585868042500046 0.147711 231.366896 -1219042.608575 33.208747 -59.406862 1385.946197 120.464003 -8.929 0.000 3.172671 2.917374 1.035 0 0.000
500.00 1353.15 98.135136 0.1367602550270879 0.126032 229.954957 -1220969.989595 33.106844 -56.145203 1349.006398 119.749518 -9.064 0.000 3.216519 2.927808 0.909 0 0.000
500.00 1343.15 98.137594 0.1179129361716514 0.107840 228.615517 -1222818.549117 33.014630 -53.497951 1313.255076 119.093548 -9.201 0.000 3.250192 2.938988 0.814 0 0.000
500.00 1333.15 98.141310 0.1001845253136028 0.091129 227.301469 -1224640.950605 32.925945 -51.126612 1276.323285 118.452028 -9.340 0.000 3.276847 2.950971 0.735 0 0.000
500.00 1323.15 98.157936 0.0560329144440743 0.050590 225.325651 -1227554.587908 32.788577 -45.349380 1167.137179 117.020929 -9.481 0.000 3.315716 2.976502 0.496 0 0.000
500.00 1313.15 98.173302 0.0082836454499142 0.007791 223.302094 -1230477.241202 32.631827 -39.844360 1059.743086 115.488103 -9.625 0.000 3.198725 3.007020 -1.034 0 0.000
500.00 1303.15 98.173313 0.0082527642579904 0.007756 222.420056 -1231631.345885 32.621159 -39.842031 1056.344155 115.370362 -9.771 0.000 3.202109 3.007992 -1.011 0 0.000
500.00 1293.15 98.173352 0.0082531601623987 0.007755 221.531866 -1232785.112804 32.610646 -39.840464 1052.951893 115.252876 -9.919 0.000 3.204015 3.008957 -0.994 0 0.000
