Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.062564 98.062564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.063215 98.063215 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.063906 98.063906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.064638 98.064638 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.065412 98.065412 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.066231 98.066231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.067095 98.067095 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.068006 98.068006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.068964 98.068964 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.069973 98.069973 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.069749 97.596225 0.473524 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.070473 93.650838 0.767427 0.000000 3.652208 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.070898 87.992338 1.221365 0.000000 7.661329 1.195867 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.069145 81.304504 2.100492 0.000000 10.631024 4.033125 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.067475 75.423557 2.921536 0.000000 13.213599 6.508783 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.065866 70.177947 3.709373 0.000000 15.486363 8.692184 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.064280 65.437258 4.485868 0.000000 17.504699 10.636454 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.062651 61.100697 5.270875 0.000000 19.307161 12.383918 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.224810 50.066313 4.020902 0.000000 23.777110 15.051088 0.000000 5.309397 0.000000 0.000000 0.000000 
500.00 1333.15 98.244744 46.087210 4.158005 0.000000 25.102505 16.819009 0.000000 6.078015 0.000000 0.000000 0.000000 
500.00 1323.15 98.264772 41.355382 3.435694 1.479282 26.039581 19.108424 0.000000 6.808945 0.000000 0.000000 0.037463 
500.00 1313.15 98.292209 32.880840 0.768867 6.517067 26.440295 23.744790 0.000000 7.724138 0.000000 0.000000 0.216212 
500.00 1303.15 98.300481 27.234951 0.000000 8.643428 26.566662 27.336915 0.000000 8.177545 0.000000 0.000000 0.340980 
500.00 1293.15 98.298782 22.944692 0.000000 9.588967 26.594273 30.336846 0.000000 8.394061 0.000000 0.000000 0.439942 
500.00 1283.15 98.294280 19.416829 0.000000 10.392444 26.594266 32.853284 0.000000 8.514065 0.000000 0.000000 0.523392 
500.00 1273.15 98.287831 16.539792 0.000000 11.091721 26.568441 34.932957 0.000000 8.562241 0.000000 0.000000 0.592678 
500.00 1263.15 98.280122 14.207469 0.000000 11.714394 26.516943 36.633186 0.000000 8.558612 0.000000 0.000000 0.649519 
500.00 1253.15 98.270923 12.201032 0.000000 12.310832 26.436918 38.065259 0.000000 8.511974 0.000000 0.047193 0.697714 
500.00 1243.15 98.259253 10.525727 0.121410 12.767902 26.328699 39.277907 0.000000 8.409416 0.000000 0.089596 0.738597 
500.00 1233.15 98.245338 9.085892 0.329420 13.148225 26.196683 40.324621 0.000000 8.258730 0.000000 0.127428 0.774341 
500.00 1223.15 98.231439 7.871929 0.503259 13.549465 26.051833 41.195654 0.000000 8.095284 0.000000 0.159466 0.804549 
500.00 1213.15 98.217780 6.840365 0.646376 13.966014 25.898646 41.924567 0.000000 7.924806 0.000000 0.186790 0.830216 
500.00 1203.15 98.204491 5.955648 0.763228 14.392086 25.741109 42.539053 0.000000 7.750917 0.000000 0.210268 0.852183 
500.00 1193.15 98.191636 5.189138 0.858166 14.822991 25.582540 43.061331 0.000000 7.575730 0.000000 0.230598 0.871141 
500.00 1183.15 98.179233 4.517947 0.935032 15.255410 25.425600 43.508951 0.000000 7.400292 0.000000 0.248346 0.887656 
500.00 1173.15 98.167274 3.923802 0.997072 15.687300 25.272396 43.895660 0.000000 7.224892 0.000000 0.263972 0.902179 
500.00 1163.15 98.155733 3.392057 1.046975 16.117715 25.124600 44.232188 0.000000 7.049267 0.000000 0.277853 0.915078 
500.00 1153.15 98.142623 2.654552 1.102848 16.652941 24.975396 44.709975 0.000000 6.609455 0.207637 0.297126 0.932692 
500.00 1143.15 98.129403 1.940156 1.147855 17.195349 24.826816 45.172956 0.000000 6.155513 0.425796 0.315462 0.949498 
500.00 1133.15 98.116367 1.277274 1.181986 17.725997 24.680379 45.602333 0.000000 5.728757 0.622637 0.332178 0.964825 
500.00 1123.15 98.103478 0.653029 1.207609 18.244938 24.536543 46.007839 0.000000 5.325847 0.800988 0.347702 0.978982 
500.00 1113.15 98.089358 0.000000 1.228374 18.794253 24.392073 46.339874 0.093779 4.908702 0.975032 0.363795 0.993476 
500.00 1103.15 98.090237 0.000000 1.225500 18.876525 24.302189 46.232886 0.198000 4.890536 1.007330 0.363795 0.993476 
500.00 1093.15 98.091096 0.000000 1.222235 18.954916 24.217031 46.130083 0.297736 4.873132 1.038693 0.363795 0.993476 
500.00 1083.15 98.091935 0.000000 1.218561 19.029858 24.136278 46.031223 0.393175 4.856483 1.069086 0.363795 0.993476 
