Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.020346 48.2299 1.45154 15.9784 2.58093 10.0418 0.202917 7.36837 11.2391 2.38869 0.355028 0.163333 0
500.00 1513.15 98.021007 48.2296 1.45153 15.9783 2.58765 10.0357 0.202916 7.36832 11.239 2.38867 0.355026 0.163332 0
500.00 1503.15 98.021710 48.2292 1.45152 15.9782 2.59479 10.0292 0.202914 7.36827 11.2389 2.38865 0.355023 0.163331 0
500.00 1493.15 98.022455 48.2288 1.4515 15.9781 2.60235 10.0223 0.202913 7.36821 11.2389 2.38864 0.355021 0.16333 0
500.00 1483.15 98.022430 48.2289 1.4515 15.9781 2.6021 10.0225 0.202913 7.36821 11.2389 2.38864 0.355021 0.16333 0
500.00 1473.15 98.021997 48.2291 1.45151 15.9781 2.5977 10.0265 0.202914 7.36824 11.2389 2.38865 0.355022 0.163331 0
500.00 1463.15 98.021502 48.2293 1.45152 15.9782 2.59268 10.0311 0.202915 7.36828 11.239 2.38866 0.355024 0.163332 0
500.00 1453.15 98.015349 48.2323 1.45161 15.9792 2.53018 10.0881 0.202927 7.36874 11.2397 2.38881 0.355046 0.163342 0
500.00 1443.15 98.008620 48.2357 1.45171 15.9803 2.46182 10.1505 0.202941 7.36925 11.2404 2.38897 0.355071 0.163353 0
500.00 1433.15 98.002900 48.2385 1.45179 15.9813 2.40371 10.2035 0.202953 7.36968 11.2411 2.38911 0.355092 0.163363 0
500.00 1423.15 97.998271 48.2407 1.45186 15.982 2.35668 10.2464 0.202963 7.37003 11.2416 2.38923 0.355108 0.16337 0
500.00 1413.15 97.991764 48.244 1.45196 15.9831 2.29056 10.3067 0.202976 7.37052 11.2424 2.38938 0.355132 0.163381 0
500.00 1403.15 97.983043 48.2482 1.45209 15.9845 2.20193 10.3875 0.202994 7.37117 11.2434 2.3896 0.355163 0.163396 0
500.00 1393.15 97.978373 48.2505 1.45216 15.9853 2.15446 10.4308 0.203004 7.37152 11.2439 2.38971 0.35518 0.163403 0
500.00 1383.15 97.975877 48.2518 1.45219 15.9857 2.12908 10.454 0.203009 7.37171 11.2442 2.38977 0.355189 0.163408 0
500.00 1373.15 97.974946 48.2522 1.45221 15.9858 2.11962 10.4626 0.203011 7.37178 11.2443 2.38979 0.355193 0.163409 0
500.00 1363.15 97.975328 48.252 1.4522 15.9858 2.12351 10.4591 0.20301 7.37175 11.2443 2.38979 0.355191 0.163408 0
500.00 1353.15 97.977088 48.2512 1.45218 15.9855 2.14139 10.4428 0.203007 7.37162 11.2441 2.38974 0.355185 0.163406 0
500.00 1343.15 97.980449 48.2495 1.45213 15.9849 2.17556 10.4116 0.203 7.37137 11.2437 2.38966 0.355173 0.1634 0
500.00 1333.15 98.117237 48.1823 1.4501 15.9626 3.56403 9.14499 0.202717 7.36109 11.228 2.38633 0.354678 0.163172 0
500.00 1323.15 98.105901 48.1878 1.45027 15.9645 3.44911 9.24982 0.20274 7.36194 11.2293 2.3866 0.354719 0.163191 0
500.00 1313.15 98.105511 48.188 1.45028 15.9645 3.44515 9.25343 0.202741 7.36197 11.2293 2.38661 0.35472 0.163192 0
500.00 1303.15 98.105153 48.1882 1.45028 15.9646 3.44152 9.25675 0.202742 7.362 11.2294 2.38662 0.354721 0.163192 0
500.00 1293.15 98.104826 48.1884 1.45029 15.9647 3.43821 9.25977 0.202742 7.36202 11.2294 2.38663 0.354723 0.163193 0
500.00 1283.15 98.104532 48.1885 1.45029 15.9647 3.43522 9.26249 0.202743 7.36205 11.2295 2.38664 0.354724 0.163193 0
500.00 1273.15 98.104271 48.1886 1.45029 15.9647 3.43258 9.2649 0.202743 7.36206 11.2295 2.38664 0.354725 0.163194 0
500.00 1263.15 98.104044 48.1887 1.4503 15.9648 3.43027 9.26701 0.202744 7.36208 11.2295 2.38665 0.354725 0.163194 0
500.00 1253.15 98.103850 48.1888 1.4503 15.9648 3.42831 9.26879 0.202744 7.3621 11.2295 2.38665 0.354726 0.163194 0
500.00 1243.15 98.103692 48.1889 1.4503 15.9648 3.42671 9.27026 0.202745 7.36211 11.2295 2.38666 0.354727 0.163195 0
