Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 whitlockite 
500.00 1523.15 98.020346 98.020346 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.021007 98.021007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.021710 98.021710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.022455 98.022455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.022430 95.210484 0.000000 0.000000 0.000000 0.000000 2.811946 0.000000 0.000000 
500.00 1473.15 98.021997 91.277876 0.000000 0.000000 0.000000 0.000000 6.744121 0.000000 0.000000 
500.00 1463.15 98.021502 87.521178 0.000000 0.000000 0.000000 0.000000 10.500325 0.000000 0.000000 
500.00 1453.15 98.015349 78.928276 1.659633 0.000000 1.194979 0.000000 16.232461 0.000000 0.000000 
500.00 1443.15 98.008620 67.699884 2.572149 0.000000 6.032001 0.000000 21.704587 0.000000 0.000000 
500.00 1433.15 98.002900 56.900029 2.250596 0.000000 9.355106 2.551026 26.946144 0.000000 0.000000 
500.00 1423.15 97.998271 46.586114 1.072526 0.000000 10.846117 7.400423 32.093090 0.000000 0.000000 
500.00 1413.15 97.991764 37.459385 0.192478 0.000000 12.150897 11.071361 37.117643 0.000000 0.000000 
500.00 1403.15 97.983043 30.034497 0.000000 0.000000 13.563018 12.957679 41.427849 0.000000 0.000000 
500.00 1393.15 97.978373 25.755537 0.281795 0.000000 14.861972 13.614974 43.464096 0.000000 0.000000 
500.00 1383.15 97.975877 22.771577 0.872631 0.000000 15.994327 13.821082 44.516259 0.000000 0.000000 
500.00 1373.15 97.974946 20.248899 1.518331 0.000000 16.996928 14.063875 45.146913 0.000000 0.000000 
500.00 1363.15 97.975328 17.875723 2.189374 0.000000 17.924034 14.449353 45.536845 0.000000 0.000000 
500.00 1353.15 97.977088 15.466878 2.877693 0.000000 18.821453 15.057843 45.753221 0.000000 0.000000 
500.00 1343.15 97.980449 12.859791 3.584693 0.000000 19.737407 15.980843 45.817716 0.000000 0.000000 
500.00 1333.15 98.117237 1.029524 1.273107 0.000000 22.966925 17.336907 48.551303 6.959472 0.000000 
500.00 1323.15 98.105901 0.000000 1.691554 0.000000 22.876714 17.343787 48.789209 7.054780 0.349857 
500.00 1313.15 98.105511 0.000000 1.700142 0.000000 22.793210 17.367631 48.814906 7.079766 0.349857 
500.00 1303.15 98.105153 0.000000 1.708468 0.000000 22.712751 17.389925 48.840166 7.103986 0.349857 
500.00 1293.15 98.104826 0.000000 1.716514 0.000000 22.635074 17.411024 48.864945 7.127413 0.349857 
500.00 1283.15 98.104532 0.000000 1.724263 0.000000 22.559954 17.431242 48.889197 7.150020 0.349857 
500.00 1273.15 98.104271 0.000000 1.731697 0.000000 22.487201 17.450857 48.912879 7.171781 0.349857 
500.00 1263.15 98.104044 0.000000 1.738797 0.000000 22.416661 17.470134 48.935934 7.192660 0.349857 
500.00 1253.15 98.103850 0.000000 1.745545 0.000000 22.348211 17.489320 48.958300 7.212618 0.349857 
500.00 1243.15 98.103692 0.000000 1.751921 0.000000 22.281749 17.508646 48.979907 7.231612 0.349857 
