Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.208887 49.0424 1.34774 15.3345 2.45896 9.57395 0.197844 7.20495 11.069 2.24776 0.345895 0.158845 1.01824
500.00 1513.15 98.209519 49.0421 1.34773 15.3344 2.46537 9.56811 0.197842 7.2049 11.0689 2.24775 0.345893 0.158844 1.01823
500.00 1503.15 98.210189 49.0418 1.34772 15.3343 2.47217 9.56191 0.197841 7.20485 11.0688 2.24773 0.345891 0.158843 1.01822
500.00 1493.15 98.210900 49.0414 1.34771 15.3341 2.47938 9.55534 0.19784 7.2048 11.0687 2.24771 0.345888 0.158842 1.01822
500.00 1483.15 98.211653 49.041 1.3477 15.334 2.487 9.54838 0.197838 7.20475 11.0686 2.2477 0.345886 0.158841 1.01821
500.00 1473.15 98.212447 49.0406 1.34769 15.3339 2.49506 9.54104 0.197836 7.20469 11.0686 2.24768 0.345883 0.158839 1.0182
500.00 1463.15 98.213286 49.0402 1.34768 15.3338 2.50356 9.53329 0.197835 7.20463 11.0685 2.24766 0.34588 0.158838 1.01819
500.00 1453.15 98.214170 49.0398 1.34767 15.3336 2.51252 9.52512 0.197833 7.20456 11.0684 2.24764 0.345877 0.158837 1.01818
500.00 1443.15 98.215101 49.0393 1.34765 15.3335 2.52196 9.51651 0.197831 7.20449 11.0683 2.24762 0.345874 0.158835 1.01817
500.00 1433.15 98.216081 49.0388 1.34764 15.3333 2.53189 9.50746 0.197829 7.20442 11.0681 2.2476 0.34587 0.158833 1.01816
500.00 1423.15 98.217110 49.0383 1.34763 15.3332 2.54233 9.49795 0.197827 7.20435 11.068 2.24757 0.345866 0.158832 1.01815
500.00 1413.15 98.218119 49.0378 1.34761 15.333 2.55256 9.48862 0.197825 7.20427 11.0679 2.24755 0.345863 0.15883 1.01814
500.00 1403.15 95.235728 49.0237 1.37152 15.6594 2.53963 9.61674 0.203533 6.90445 10.7975 2.31299 0.356694 0.163804 1.05003
500.00 1393.15 88.302610 49.1223 1.45074 15.683 2.60638 10.007 0.216189 6.47011 10.3243 2.42726 0.383506 0.176665 1.13247
500.00 1383.15 81.866288 49.2548 1.53689 15.5872 2.69016 10.4151 0.229017 6.05653 9.86765 2.53841 0.412155 0.190555 1.2215
500.00 1373.15 76.349991 49.393 1.61908 15.4896 2.76873 10.797 0.241281 5.66074 9.43158 2.64453 0.440429 0.204322 1.30976
500.00 1363.15 71.565401 49.5374 1.69736 15.3901 2.8426 11.1533 0.252981 5.28176 9.01494 2.74589 0.468363 0.217982 1.39732
500.00 1353.15 67.371134 49.6889 1.77172 15.2888 2.91218 11.4845 0.264107 4.91862 8.61661 2.84275 0.495996 0.231553 1.48432
500.00 1343.15 63.817129 49.725 1.83748 15.1479 5.44853 9.53155 0.273957 4.55893 8.21508 2.92812 0.522078 0.244448 1.56698
500.00 1333.15 52.260708 54.4215 1.20819 15.9546 2.70962 7.55009 0.334538 3.8072 7.74245 3.42511 0.634709 0.298503 1.91348
500.00 1323.15 48.542517 55.6192 1.09813 16.0051 2.44458 6.96429 0.360162 3.51294 7.33728 3.59542 0.681517 0.321368 2.06005
500.00 1313.15 45.180265 56.6971 1.01797 15.9278 2.26569 6.42865 0.386965 3.18588 7.04945 3.75194 0.729943 0.345284 2.21336
500.00 1303.15 42.128551 57.7427 0.948456 15.7672 2.13864 5.91448 0.414996 2.88555 6.76605 3.89783 0.780145 0.370295 2.37369
500.00 1293.15 38.326097 59.0299 0.892671 15.2929 1.97758 5.44864 0.456169 2.54628 6.43009 4.0572 0.852387 0.407033 2.60919
500.00 1283.15 35.225204 60.2195 0.842705 14.807 1.83471 5.02181 0.496326 2.25945 6.12919 4.18565 0.921946 0.442865 2.83888
500.00 1273.15 32.640830 61.324 0.797689 14.3162 1.70605 4.62998 0.535623 2.0144 5.85819 4.28714 0.989124 0.477929 3.06365
500.00 1263.15 30.450400 62.3534 0.756924 13.8255 1.58887 4.26962 0.574153 1.8032 5.61287 4.36502 1.05411 0.512309 3.28403
500.00 1253.15 28.569371 63.3152 0.719843 13.339 1.48127 3.93766 0.611955 1.61984 5.38974 4.4222 1.117 0.546039 3.50025
500.00 1243.15 26.937005 64.2157 0.685979 12.8599 1.38189 3.63146 0.64904 1.45963 5.18587 4.46125 1.17783 0.579129 3.71237
500.00 1233.15 25.508190 65.0601 0.654942 12.3905 1.28972 3.34873 0.685395 1.31888 4.9988 4.48446 1.23663 0.611568 3.92031
500.00 1223.15 24.248455 65.8528 0.626407 11.9327 1.20397 3.08746 0.721002 1.19464 4.82645 4.49389 1.29339 0.64334 4.12397
500.00 1213.15 23.130843 66.5978 0.600094 11.4877 1.12403 2.84588 0.755838 1.08448 4.66704 4.49135 1.34811 0.674424 4.32323
500.00 1203.15 22.133868 67.2986 0.575766 11.0564 1.04941 2.62242 0.789884 0.98644 4.51907 4.47846 1.4008 0.704802 4.51796
500.00 1193.15 21.240133 67.9583 0.553214 10.6392 0.979674 2.41567 0.82312 0.898877 4.38126 4.45666 1.45146 0.734459 4.70807
500.00 1183.15 20.435382 68.5798 0.532258 10.2365 0.914477 2.22436 0.855535 0.820422 4.2525 4.42721 1.5001 0.763382 4.89347
500.00 1173.15 19.707804 69.1656 0.512739 9.84826 0.853503 2.04731 0.88712 0.749925 4.13187 4.39121 1.54675 0.791565 5.07413
500.00 1163.15 19.047524 69.7182 0.494518 9.47438 0.796043 1.88388 0.917872 0.686407 4.01856 4.34964 1.59143 0.819004 5.25003
