Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.208887 49.0424 1.34774 15.3345 2.45896 9.57395 0.197844 7.20495 11.069 2.24776 0.345895 0.158845 1.01824
500.00 1513.15 98.209519 49.0421 1.34773 15.3344 2.46537 9.56811 0.197842 7.2049 11.0689 2.24775 0.345893 0.158844 1.01823
500.00 1503.15 98.210189 49.0418 1.34772 15.3343 2.47217 9.56191 0.197841 7.20485 11.0688 2.24773 0.345891 0.158843 1.01822
500.00 1493.15 98.210900 49.0414 1.34771 15.3341 2.47938 9.55534 0.19784 7.2048 11.0687 2.24771 0.345888 0.158842 1.01822
500.00 1483.15 98.211653 49.041 1.3477 15.334 2.487 9.54838 0.197838 7.20475 11.0686 2.2477 0.345886 0.158841 1.01821
500.00 1473.15 98.212447 49.0406 1.34769 15.3339 2.49506 9.54104 0.197836 7.20469 11.0686 2.24768 0.345883 0.158839 1.0182
500.00 1463.15 98.213286 49.0402 1.34768 15.3338 2.50356 9.53329 0.197835 7.20463 11.0685 2.24766 0.34588 0.158838 1.01819
500.00 1453.15 98.214170 49.0398 1.34767 15.3336 2.51252 9.52512 0.197833 7.20456 11.0684 2.24764 0.345877 0.158837 1.01818
500.00 1443.15 98.215101 49.0393 1.34765 15.3335 2.52196 9.51651 0.197831 7.20449 11.0683 2.24762 0.345874 0.158835 1.01817
500.00 1433.15 98.216081 49.0388 1.34764 15.3333 2.53189 9.50746 0.197829 7.20442 11.0681 2.2476 0.34587 0.158833 1.01816
500.00 1423.15 98.217110 49.0383 1.34763 15.3332 2.54233 9.49795 0.197827 7.20435 11.068 2.24757 0.345866 0.158832 1.01815
500.00 1413.15 95.235234 49.023 1.37152 15.6594 2.5554 9.60236 0.20353 6.90388 10.7974 2.313 0.356696 0.163805 1.05003
500.00 1403.15 88.301673 49.1213 1.45075 15.6828 2.62969 9.98583 0.216186 6.46953 10.324 2.42726 0.38351 0.176667 1.13248
500.00 1393.15 81.865183 49.2538 1.5369 15.5869 2.71327 10.3942 0.229015 6.05593 9.86733 2.53842 0.41216 0.190557 1.22152
500.00 1383.15 76.348737 49.392 1.61909 15.4893 2.79157 10.7763 0.241279 5.66012 9.43125 2.64454 0.440436 0.204326 1.30978
500.00 1373.15 71.564016 49.5364 1.69738 15.3899 2.86515 11.1329 0.252979 5.28112 9.0146 2.7459 0.468371 0.217987 1.39735
500.00 1363.15 67.369635 49.688 1.77174 15.2885 2.93444 11.4643 0.264105 4.91796 8.61627 2.84278 0.496006 0.231558 1.48435
500.00 1353.15 63.657084 49.8479 1.84208 15.1854 2.99979 11.7707 0.274637 4.5696 8.23517 2.93543 0.52339 0.245063 1.57092
500.00 1343.15 52.231725 54.4498 1.20864 15.9626 2.2137 8.00028 0.334723 3.80892 7.74608 3.42695 0.63506 0.298669 1.91455
500.00 1333.15 48.519735 55.6421 1.09842 16.0117 2.05835 7.31408 0.360331 3.51362 7.33998 3.59705 0.681835 0.321519 2.06102
500.00 1323.15 45.161199 56.7177 1.01815 15.9335 1.93259 6.72974 0.387128 3.1862 7.05163 3.75345 0.730249 0.345429 2.21429
500.00 1313.15 42.099545 57.7788 0.948838 15.777 1.81844 6.2056 0.415282 2.88645 6.76986 3.90043 0.780681 0.37055 2.34804
500.00 1303.15 38.223543 59.1842 0.894764 15.3328 1.71319 5.70326 0.457393 2.55194 6.44642 4.06798 0.854672 0.408125 2.38525
500.00 1293.15 35.060604 60.4978 0.846328 14.8753 1.61443 5.24838 0.498656 2.2688 6.15698 4.20518 0.926271 0.444944 2.41693
500.00 1283.15 32.422980 61.7313 0.802684 14.4111 1.52136 4.83434 0.539222 2.0266 5.8965 4.3158 0.995766 0.48114 2.44417
500.00 1273.15 30.186254 62.8938 0.763154 13.9452 1.43337 4.45588 0.579177 1.81758 5.66087 4.40305 1.06333 0.516792 2.46777
500.00 1263.15 28.264577 63.9924 0.727182 13.4815 1.35001 4.10881 0.618554 1.63583 5.44668 4.4697 1.12904 0.551928 2.48837
500.00 1253.15 26.596248 65.0325 0.694314 13.0232 1.27092 3.78971 0.657355 1.47679 5.25108 4.51819 1.19292 0.586549 2.50646
500.00 1243.15 25.135418 66.0186 0.664172 12.5728 1.19584 3.49574 0.69556 1.33684 5.07165 4.55073 1.25496 0.620638 2.52244
500.00 1233.15 23.847036 66.9546 0.636438 12.1321 1.12456 3.22451 0.733139 1.21308 4.90635 4.56928 1.31515 0.654169 2.53664
500.00 1223.15 22.703678 67.8438 0.610843 11.7023 1.05691 2.97397 0.770059 1.10316 4.75346 4.57557 1.37347 0.687113 2.54934
500.00 1213.15 21.683472 68.6891 0.587153 11.2845 0.99273 2.74236 0.806291 1.00515 4.6115 4.57118 1.42989 0.719442 2.56076
500.00 1203.15 20.768705 69.4931 0.56517 10.8791 0.931894 2.52809 0.841804 0.917449 4.47923 4.55749 1.48439 0.75113 2.57108
500.00 1193.15 19.944848 70.2584 0.544719 10.4866 0.874271 2.3298 0.876576 0.838721 4.35557 4.53573 1.53698 0.782157 2.58047
500.00 1183.15 19.199865 70.987 0.525645 10.1071 0.819738 2.14624 0.910589 0.767839 4.23962 4.507 1.58765 0.812506 2.58907
500.00 1173.15 18.523692 71.681 0.507814 9.7406 0.768178 1.97629 0.943828 0.70385 4.1306 4.47224 1.63642 0.842165 2.59697
500.00 1163.15 17.902127 72.3626 0.491259 9.38889 0.719238 1.81906 0.976598 0.645651 4.01498 4.4334 1.68381 0.860207 2.60435
