Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.121971 43.157517 39.476001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.681516 
500.00 1513.15 100.122623 43.030994 39.435555 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.595439 
500.00 1503.15 100.123314 42.904303 39.395224 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.509079 
500.00 1493.15 100.124048 42.777446 39.355009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.422436 
500.00 1483.15 100.124824 42.650423 39.314915 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.335509 
500.00 1473.15 100.125644 42.523238 39.274943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.248295 
500.00 1463.15 100.126510 42.395891 39.235096 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.160795 
500.00 1453.15 100.127423 42.268387 39.195379 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.073008 
500.00 1443.15 100.128384 42.140727 39.155794 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.984933 
500.00 1433.15 100.129396 42.012915 39.116343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.896572 
500.00 1423.15 100.130459 41.884956 39.077031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.807924 
500.00 1413.15 100.129973 41.775669 38.838526 0.181238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.755905 
500.00 1403.15 99.533313 41.491186 38.528059 0.247485 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.715642 
500.00 1393.15 98.717194 41.254206 37.841697 0.191661 0.000000 0.352921 0.000000 0.000000 0.000000 0.000000 2.867927 
500.00 1383.15 96.941233 41.101376 35.884913 0.018804 0.000000 1.531945 0.000000 0.000000 0.000000 0.000000 3.665715 
500.00 1373.15 91.892725 39.876044 34.148055 0.020970 0.000000 1.355224 0.000000 0.000000 0.000000 0.000000 4.351795 
500.00 1363.15 87.398080 38.769089 32.597669 0.023663 0.000000 1.204689 0.000000 0.000000 0.000000 0.000000 4.943069 
500.00 1353.15 83.366378 38.735315 29.624261 0.306572 0.000000 0.729072 1.476815 0.000000 0.000000 0.000000 6.598595 
500.00 1343.15 76.118241 38.222992 24.211950 0.119032 0.000000 1.521028 2.058701 1.033255 0.000000 0.000000 9.279026 
500.00 1333.15 60.516930 34.463945 21.744326 0.131521 0.000000 0.527030 1.211861 0.253112 0.000000 0.000000 10.596095 
500.00 1323.15 53.967206 33.212606 19.549844 0.000000 0.222887 0.313162 1.144137 0.195905 0.000000 0.000000 11.786671 
500.00 1313.15 48.268612 32.109364 17.625910 0.000000 0.282910 0.114120 1.102136 0.146476 0.000000 0.000000 12.837811 
500.00 1303.15 43.361076 31.061190 16.082571 0.000000 0.217635 0.070189 0.919500 0.111309 0.000000 0.000000 13.659986 
500.00 1293.15 39.461185 30.210818 14.809955 0.000000 0.171030 0.044611 0.783430 0.086993 0.000000 0.000000 14.314799 
500.00 1283.15 36.273918 29.493614 13.738770 0.000000 0.136388 0.029644 0.677576 0.069459 0.000000 0.000000 14.841777 
500.00 1273.15 33.613498 28.870300 12.822962 0.000000 0.109858 0.020986 0.592438 0.056393 0.000000 0.000000 15.267664 
500.00 1263.15 31.356687 28.315682 12.030616 0.000000 0.089070 0.016149 0.522120 0.046398 0.000000 0.000000 15.611329 
500.00 1253.15 29.418257 27.813018 11.338627 0.000000 0.072522 0.013615 0.462952 0.038595 0.000000 0.000000 15.886708 
500.00 1243.15 27.736714 27.350682 10.729656 0.000000 0.059200 0.012444 0.412507 0.032402 0.000000 0.000000 16.104474 
500.00 1233.15 26.266132 26.920303 10.190305 0.000000 0.048385 0.012053 0.369093 0.027424 0.000000 0.000000 16.273044 
500.00 1223.15 24.971221 26.515660 9.709966 0.000000 0.039552 0.012081 0.331475 0.023376 0.000000 0.000000 16.399209 
500.00 1213.15 23.824223 26.131998 9.280085 0.000000 0.032303 0.012309 0.298708 0.020055 0.000000 0.000000 16.488538 
500.00 1203.15 22.802904 25.765604 8.893660 0.000000 0.026329 0.012606 0.270042 0.017308 0.000000 0.000000 16.545659 
500.00 1193.15 21.889191 25.413521 8.544891 0.000000 0.021388 0.012898 0.244873 0.015020 0.000000 0.000000 16.574451 
500.00 1183.15 21.068217 25.073355 8.228935 0.000000 0.017290 0.013145 0.222696 0.013100 0.000000 0.000000 16.578188 
500.00 1173.15 20.327627 24.743710 7.938160 0.000000 0.014347 0.012918 0.203690 0.011499 0.000000 0.002441 16.560656 
500.00 1163.15 19.648763 24.419982 7.669927 0.000000 0.011849 0.012676 0.186655 0.010129 0.000000 0.004832 16.523914 
500.00 1153.15 19.023034 24.100242 7.425203 0.000000 0.009307 0.012817 0.170894 0.008945 0.000000 0.004194 16.468882 
500.00 1143.15 18.454358 23.787153 7.201266 0.000000 0.007183 0.012886 0.156874 0.007934 0.000000 0.003626 16.397383 
500.00 1133.15 17.935940 23.479604 6.995792 0.000000 0.005403 0.012893 0.144362 0.007068 0.000000 0.003113 16.310973 
500.00 1123.15 17.462001 23.176648 6.806782 0.000000 0.003909 0.012845 0.133161 0.006322 0.000000 0.002644 16.210986 
500.00 1113.15 17.027602 22.877471 6.632517 0.000000 0.002651 0.012754 0.123101 0.005676 0.000000 0.002209 16.098563 
500.00 1103.15 16.628109 22.587084 6.464668 0.006148 0.000000 0.009914 0.118764 0.003664 0.000000 0.002229 15.981697 
500.00 1093.15 16.243685 22.299134 6.300029 0.012234 0.000000 0.005274 0.116333 0.000201 0.001088 0.002529 15.861444 
500.00 1083.15 15.868996 22.004355 6.147624 0.010367 0.000000 0.005487 0.107456 0.000000 0.002185 0.002226 15.729010 
500.00 1073.15 15.519697 21.709623 6.008211 0.008881 0.000000 0.005562 0.098413 0.000000 0.001893 0.001817 15.584847 
500.00 1063.15 15.201994 21.417167 5.880246 0.007811 0.000000 0.005476 0.090462 0.000000 0.001700 0.001451 15.430022 
500.00 1053.15 14.911381 21.126027 5.762649 0.006877 0.000000 0.005340 0.083306 0.000000 0.001534 0.001100 15.265222 
500.00 1043.15 14.645275 20.835723 5.654465 0.006062 0.000000 0.005164 0.076850 0.000000 0.001389 0.000758 15.091034 
500.00 1033.15 14.401411 20.545814 5.554857 0.005350 0.000000 0.004958 0.071011 0.000000 0.001263 0.000419 14.907954 
500.00 1023.15 14.177793 20.255889 5.463081 0.004729 0.000000 0.004728 0.065721 0.000000 0.001153 0.000080 14.716397 
