Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.121971 0.9974048032405903 0.914696 289.453714 -1187270.483529 43.157517 -7792.283969 7569.226263 152.150751 -7.007 0.000 2.529692 0.070579 1.540 0.999758 0.000
500.00 1513.15 100.122623 0.9974467846841136 0.916445 288.451816 -1188802.954535 43.030994 -7625.500688 7532.398133 152.147456 -7.116 0.000 2.532410 0.071100 1.576 0.999754 0.000
500.00 1503.15 100.123314 0.9974895494113887 0.918211 287.443324 -1190336.041938 42.904303 -7458.111061 7494.700613 152.144362 -7.225 0.000 2.535129 0.071630 1.612 0.99975 0.000
500.00 1493.15 100.124048 0.9975331168487410 0.919994 286.428147 -1191869.770488 42.777446 -7290.105512 7456.106571 152.141475 -7.336 0.000 2.537849 0.072169 1.649 0.999746 0.000
500.00 1483.15 100.124824 0.9975775069949812 0.921794 285.406191 -1193404.165958 42.650423 -7121.474379 7416.587606 152.138801 -7.449 0.000 2.540569 0.072718 1.686 0.999742 0.000
500.00 1473.15 100.125644 0.9976227405803225 0.923611 284.392330 -1194917.154124 42.523238 -6952.207537 7376.113838 148.907324 -7.563 0.000 2.543291 0.073277 1.724 0.999737 0.000
500.00 1463.15 100.126510 0.9976688392478132 0.925446 283.378555 -1196420.628426 42.395891 -6782.293985 7334.653683 148.896735 -7.679 0.000 2.546014 0.073846 1.762 0.999733 0.000
500.00 1453.15 100.127423 0.9977158248694082 0.927298 282.357923 -1197924.762501 42.268387 -6611.723756 7292.174406 148.885834 -7.796 0.000 2.548737 0.074425 1.801 0.999728 0.000
500.00 1443.15 100.128384 0.9977637199241698 0.929167 281.330339 -1199429.580754 42.140727 -6440.486940 7248.641713 148.874617 -7.915 0.000 2.551461 0.075015 1.840 0.999723 0.000
500.00 1433.15 100.129396 0.9978125475437210 0.931055 280.295707 -1200935.108774 42.012915 -6268.573628 7204.019618 148.863082 -8.035 0.000 2.554185 0.075616 1.880 0.999718 0.000
500.00 1423.15 100.130459 0.9978623315273342 0.932961 279.253928 -1202441.373394 41.884956 -6095.973938 7158.270357 148.851225 -8.157 0.000 2.556909 0.076229 1.920 0.999712 0.000
500.00 1413.15 100.129973 0.9919270768458905 0.929692 278.035559 -1204160.838782 41.775669 -5995.542417 7125.240672 148.524799 -8.281 0.000 2.557297 0.275214 1.978 0.999717 0.000
500.00 1403.15 99.533313 0.9896801733807940 0.928584 275.342843 -1198643.444507 41.491186 -5918.208193 7087.362432 147.348890 -8.407 0.000 2.556738 0.346649 2.044 0.999727 0.000
500.00 1393.15 98.717194 0.9796915033812100 0.917281 271.869675 -1190837.466945 41.254206 -6222.498280 7176.682869 145.568220 -8.535 0.000 2.555710 0.587485 2.112 0.999728 0.000
500.00 1383.15 96.941233 0.9448907275328526 0.873083 265.326188 -1171880.087135 41.101376 -7808.187461 7698.155349 141.516578 -8.664 0.000 2.552573 1.024135 2.189 0.999707 0.000
500.00 1373.15 91.892725 0.9472675341984979 0.856355 251.607779 -1110429.541343 39.876044 -9175.045505 8116.137826 133.874716 -8.795 0.000 2.549106 0.845974 2.269 0.999706 0.000
500.00 1363.15 87.398080 0.9493433779212160 0.840816 239.364809 -1056001.960838 38.769089 -10357.127724 8488.926229 127.073330 -8.929 0.000 2.545298 0.717386 2.351 0.999722 0.000
500.00 1353.15 83.366378 0.9048019822412269 0.764787 227.563338 -1008518.911591 38.735315 -13662.026052 9661.304515 119.927855 -9.064 0.000 2.546226 0.871064 2.429 0.999708 0.000
500.00 1343.15 76.118241 0.7845814091956419 0.633439 205.912439 -919679.709989 38.222992 -19016.475534 11440.381326 105.901255 -9.201 0.000 2.466590 1.170312 2.925 0.999832 0.000
500.00 1333.15 60.516930 0.8768472061573042 0.630930 168.766618 -750362.772754 34.463945 -21663.417426 12311.136984 86.297231 -9.340 0.000 2.440365 0.585932 3.159 0.999871 0.000
