Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.116088 48.1472 1.41037 15.541 2.57025 10.0723 0.198846 7.06918 11.208 2.24989 0.353561 0.160218 1.0192
500.00 1513.15 98.116748 48.1468 1.41036 15.5409 2.57696 10.0662 0.198845 7.06913 11.208 2.24987 0.353558 0.160217 1.01919
500.00 1503.15 98.117450 48.1465 1.41035 15.5408 2.58407 10.0597 0.198843 7.06908 11.2079 2.24985 0.353556 0.160216 1.01919
500.00 1493.15 98.118193 48.1461 1.41034 15.5406 2.59161 10.0528 0.198842 7.06903 11.2078 2.24984 0.353553 0.160215 1.01918
500.00 1483.15 98.118979 48.1457 1.41033 15.5405 2.59959 10.0455 0.19884 7.06897 11.2077 2.24982 0.35355 0.160214 1.01917
500.00 1473.15 98.119810 48.1453 1.41032 15.5404 2.60802 10.0379 0.198839 7.06891 11.2076 2.2498 0.353547 0.160212 1.01916
500.00 1463.15 98.120687 48.1449 1.4103 15.5403 2.61692 10.0297 0.198837 7.06885 11.2075 2.24978 0.353544 0.160211 1.01915
500.00 1453.15 98.121612 48.1444 1.41029 15.5401 2.6263 10.0212 0.198835 7.06878 11.2074 2.24976 0.353541 0.160209 1.01914
500.00 1443.15 98.122585 48.144 1.41028 15.5399 2.63618 10.0122 0.198833 7.06871 11.2073 2.24974 0.353537 0.160208 1.01913
500.00 1433.15 98.123610 48.1435 1.41026 15.5398 2.64657 10.0027 0.198831 7.06864 11.2072 2.24971 0.353534 0.160206 1.01912
500.00 1423.15 98.124686 48.1429 1.41025 15.5396 2.65749 9.99273 0.198829 7.06856 11.2071 2.24969 0.35353 0.160204 1.01911
500.00 1413.15 95.500579 48.1163 1.43434 15.641 2.68651 10.1435 0.204292 6.93863 10.9644 2.29628 0.363004 0.164606 1.04711
500.00 1403.15 88.245159 48.1423 1.51895 15.5788 2.77756 10.6273 0.218512 6.59211 10.4294 2.41223 0.391452 0.17814 1.13321
500.00 1393.15 81.769700 48.219 1.60766 15.4787 2.86934 11.0834 0.23146 6.1782 9.9699 2.5263 0.420888 0.192247 1.22295
500.00 1383.15 76.220022 48.3039 1.69177 15.378 2.95549 11.5122 0.243831 5.78095 9.52994 2.6357 0.449967 0.206245 1.31199
500.00 1373.15 71.406086 48.3976 1.7712 15.2769 3.03656 11.9144 0.255625 5.39939 9.10829 2.74074 0.478727 0.220149 1.40044
500.00 1363.15 67.185070 48.5011 1.84577 15.1754 3.113 12.2903 0.266834 5.03253 8.7037 2.84172 0.507215 0.233981 1.48843
500.00 1353.15 63.447093 48.6161 1.91508 15.074 3.1851 12.6397 0.277444 4.67929 8.31486 2.93901 0.535492 0.247765 1.57612
500.00 1343.15 50.429228 54.0446 1.15811 16.0878 2.23774 8.02744 0.349075 3.78831 7.80119 3.54038 0.670655 0.311724 1.98298
500.00 1333.15 46.921016 55.2136 1.04593 16.1549 2.08066 7.34312 0.375175 3.51176 7.37082 3.71868 0.719013 0.335031 2.13124
500.00 1323.15 43.907446 56.2691 0.954826 16.1493 1.94562 6.75195 0.400925 3.2465 6.9999 3.87996 0.766363 0.358026 2.27752
500.00 1313.15 40.023731 57.5568 0.891635 15.8407 1.83417 6.21295 0.439829 2.89058 6.67249 4.06911 0.836409 0.392767 2.36258
500.00 1303.15 36.296411 58.9391 0.838465 15.3894 1.7309 5.71399 0.484995 2.55507 6.34889 4.24921 0.916476 0.433101 2.4004
500.00 1293.15 33.249854 60.2318 0.790872 14.9236 1.63376 5.26163 0.529434 2.27101 6.0604 4.39779 0.994198 0.472784 2.43264
500.00 1283.15 30.705969 61.4465 0.748017 14.4501 1.54199 4.84941 0.573295 2.02797 5.80182 4.5187 1.06985 0.511953 2.46038
