Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.116088 1.0000000000000000 1.000000 274.763675 -1162031.825761 37.548960 -368.526809 3744.735979 147.478019 -7.007 0.000 2.613017 0.000000 1.759 0.389033 0.000
500.00 1513.15 98.116748 1.0000000000000000 1.000000 273.793555 -1163516.211498 37.512112 -367.406411 3742.067243 147.477989 -7.116 0.000 2.615602 0.000000 1.798 0.388068 0.000
500.00 1503.15 98.117450 1.0000000000000000 1.000000 272.817049 -1165001.224461 37.475325 -366.289033 3739.341325 147.478162 -7.225 0.000 2.618188 0.000000 1.838 0.387093 0.000
500.00 1493.15 98.118193 1.0000000000000000 1.000000 271.834068 -1166486.889045 37.438602 -365.174747 3736.558503 147.478545 -7.336 0.000 2.620776 0.000000 1.878 0.386108 0.000
500.00 1483.15 98.118979 1.0000000000000000 1.000000 270.844524 -1167973.230677 37.401943 -364.063631 3733.719070 147.479144 -7.449 0.000 2.623366 0.000000 1.918 0.385114 0.000
500.00 1473.15 98.119810 1.0000000000000000 1.000000 269.862932 -1169438.705113 37.365350 -362.955764 3730.823330 144.328427 -7.563 0.000 2.625957 0.000000 1.959 0.384109 0.000
500.00 1463.15 98.120687 1.0000000000000000 1.000000 268.881480 -1170894.920456 37.328824 -361.851229 3727.871599 144.321304 -7.679 0.000 2.628550 0.000000 2.001 0.383095 0.000
500.00 1453.15 98.121612 1.0000000000000000 1.000000 267.893390 -1172351.806523 37.292368 -360.750113 3724.864211 144.313886 -7.796 0.000 2.631145 0.000000 2.043 0.382071 0.000
500.00 1443.15 98.122585 1.0000000000000000 1.000000 266.898571 -1173809.387530 37.255983 -359.652507 3721.801509 144.306172 -7.915 0.000 2.633740 0.000000 2.086 0.381036 0.000
500.00 1433.15 98.123610 1.0000000000000000 1.000000 265.896931 -1175267.688890 37.219671 -358.558505 3718.683857 144.298160 -8.035 0.000 2.636337 0.000000 2.129 0.379992 0.000
500.00 1423.15 98.124686 1.0000000000000000 1.000000 264.888374 -1176726.737283 37.183433 -357.468205 3715.511630 144.289848 -8.157 0.000 2.638936 0.000000 2.173 0.378937 0.000
500.00 1413.15 98.126090 0.9732434979524725 0.977130 263.172030 -1179182.919385 37.034578 -352.903951 3677.844704 143.371766 -8.281 0.000 2.639042 3.099811 2.216 0.393208 0.000
500.00 1403.15 95.501851 0.9240151731252699 0.932660 254.227284 -1148999.273558 35.905199 -340.691215 3544.634149 137.807219 -8.407 0.000 2.635179 3.001301 2.250 0.443318 0.000
500.00 1393.15 88.246255 0.9266081633058955 0.934919 234.729897 -1057184.792743 33.249426 -327.825095 3369.911861 126.908175 -8.535 0.000 2.630476 2.992978 2.292 0.496065 0.000
500.00 1383.15 81.770958 0.9321160514199857 0.940011 217.378879 -975412.580294 30.880115 -316.478223 3216.916464 117.255446 -8.664 0.000 2.625774 2.996503 2.334 0.548947 0.000
500.00 1373.15 76.221429 0.9368242895459873 0.944367 202.476518 -905594.222674 28.848212 -306.478448 3084.103612 108.978408 -8.795 0.000 2.621051 3.000392 2.377 0.601748 0.000
500.00 1363.15 71.407632 0.9408668004681289 0.948117 189.523535 -845273.160120 27.084902 -297.564360 2967.381050 101.797067 -8.929 0.000 2.616277 3.004834 2.421 0.654299 0.000
500.00 1353.15 67.186745 0.9443394395544297 0.951354 178.144126 -792608.638135 25.538459 -289.537045 2863.615587 95.500212 -9.064 0.000 2.611409 3.010153 2.466 0.706465 0.000
500.00 1343.15 63.642986 0.7923768268659216 0.847064 165.595050 -752843.224092 24.062738 -274.096698 2505.567598 86.534577 -9.201 0.000 2.474123 3.590628 3.110 0.843841 0.000
500.00 1333.15 50.458091 0.9299007399816682 0.946020 135.190306 -625455.212843 20.277868 -265.332778 2299.235607 71.155679 -9.340 0.000 2.445935 3.231381 3.267 0.908558 0.000
500.00 1323.15 46.943697 0.9353214357336714 0.949930 126.024891 -586737.220227 19.092693 -259.016758 2204.575105 66.182581 -9.481 0.000 2.420913 3.176110 3.408 0.9735 0.000
500.00 1313.15 43.927787 0.9111255950425156 0.896689 117.868195 -553275.811564 18.597997 -1554.104918 2641.115385 61.594223 -9.625 0.000 2.399990 2.031908 3.582 0.999953 0.000
500.00 1303.15 40.095336 0.9052526985000179 0.846826 107.899534 -507964.832813 17.987488 -3302.042724 3277.530352 56.064262 -9.771 0.000 2.382862 1.378814 3.773 0.999988 0.000
500.00 1293.15 36.439211 0.9124745815945377 0.811912 98.523763 -463908.185528 17.295009 -4742.025698 3816.972246 50.929803 -9.919 0.000 2.367882 0.980440 3.952 1.00002 0.000
500.00 1283.15 33.452842 0.9178881974940607 0.779530 90.826256 -427799.917860 16.728580 -5948.109587 4288.383447 46.742089 -10.069 0.000 2.354675 0.744783 4.121 1.00005 0.000
