Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.908185 48.1759 1.39019 15.4529 2.44578 9.5283 0.193316 7.0922 11.1239 2.2703 0.333379 0.155731 1.83816
500.00 1513.15 99.913123 48.1735 1.39012 15.4521 2.452 9.52211 0.193307 7.09185 11.1234 2.27019 0.333362 0.155724 1.84238
500.00 1503.15 99.918180 48.171 1.39005 15.4513 2.45862 9.51557 0.193297 7.09149 11.1228 2.27007 0.333345 0.155716 1.84667
500.00 1493.15 99.923361 48.1685 1.38998 15.4505 2.46564 9.50865 0.193287 7.09112 11.1222 2.26995 0.333328 0.155708 1.85104
500.00 1483.15 99.928668 48.166 1.38991 15.4497 2.47306 9.50134 0.193277 7.09074 11.1217 2.26983 0.33331 0.155699 1.8555
500.00 1473.15 99.934106 48.1634 1.38983 15.4488 2.48092 9.49363 0.193266 7.09036 11.1211 2.26971 0.333292 0.155691 1.86004
500.00 1463.15 99.939676 48.1607 1.38975 15.448 2.48921 9.48552 0.193256 7.08996 11.1204 2.26958 0.333274 0.155682 1.86466
500.00 1453.15 99.945384 48.1579 1.38968 15.4471 2.49796 9.47698 0.193244 7.08956 11.1198 2.26945 0.333255 0.155673 1.86938
500.00 1443.15 99.951233 48.1551 1.38959 15.4462 2.50717 9.468 0.193233 7.08914 11.1191 2.26932 0.333235 0.155664 1.87418
500.00 1433.15 99.957227 48.1522 1.38951 15.4453 2.51687 9.45857 0.193222 7.08872 11.1185 2.26919 0.333215 0.155655 1.87908
500.00 1423.15 99.963370 48.1493 1.38943 15.4443 2.52707 9.44868 0.19321 7.08828 11.1178 2.26905 0.333195 0.155645 1.88407
500.00 1413.15 99.969667 48.1462 1.38934 15.4434 2.53778 9.4383 0.193198 7.08784 11.1171 2.2689 0.333174 0.155635 1.88916
500.00 1403.15 99.627919 48.1744 1.3941 15.4963 2.54828 9.41123 0.192875 6.96248 11.1538 2.27669 0.334317 0.156169 1.89934
500.00 1393.15 98.596313 48.2401 1.40634 15.6443 2.55798 9.37215 0.192637 6.66474 11.2088 2.30012 0.337815 0.157803 1.91732
500.00 1383.15 93.307199 48.2369 1.42956 16.2184 2.57416 9.58012 0.203336 6.19895 10.6587 2.42184 0.356964 0.166748 1.95426
500.00 1373.15 88.599604 48.2652 1.44349 16.7659 2.58581 9.76333 0.213859 5.75468 10.1229 2.54178 0.37593 0.175608 1.99159
500.00 1363.15 81.382308 48.4868 1.51281 16.7653 2.66932 10.1988 0.229145 5.30502 9.51798 2.69671 0.408078 0.191182 2.01885
500.00 1353.15 73.928801 48.8063 1.61306 16.4573 2.78795 10.7502 0.246028 4.87015 8.914 2.85871 0.447168 0.210457 2.03876
500.00 1343.15 58.431873 52.8682 1.16381 16.7255 2.22322 8.08761 0.30724 4.1325 8.07919 3.37993 0.561497 0.266273 2.20506
500.00 1333.15 51.910183 54.5768 1.05903 16.5352 2.07064 7.38177 0.339571 3.70869 7.50158 3.63261 0.628769 0.299726 2.2657
500.00 1323.15 46.092039 56.1565 0.977503 16.2155 1.9433 6.76102 0.382451 3.29011 7.03343 3.87998 0.703871 0.33756 2.31882
500.00 1313.15 41.243376 57.6543 0.915892 15.7809 1.83358 6.21077 0.427413 2.88925 6.66737 4.09788 0.781484 0.377244 2.36393
500.00 1303.15 37.392111 59.0471 0.861089 15.3237 1.73092 5.71474 0.471436 2.55415 6.3429 4.27942 0.856482 0.416099 2.402
500.00 1293.15 34.245701 60.3502 0.812011 14.8525 1.63433 5.26484 0.51475 2.27043 6.05352 4.42935 0.929283 0.454329 2.4345
500.00 1283.15 31.619849 61.5749 0.767795 14.3741 1.54304 4.85469 0.557497 2.02766 5.794 4.55156 1.00014 0.492059 2.46251
500.00 1273.15 29.392304 62.7301 0.727748 13.8938 1.45648 4.47924 0.599748 1.81811 5.56009 4.64932 1.06919 0.52935 2.48685
500.00 1263.15 27.478566 63.8223 0.69131 13.4157 1.37422 4.13445 0.641517 1.63588 5.34825 4.72552 1.13647 0.566217 2.50814
500.00 1253.15 25.817742 64.8569 0.658019 12.9432 1.29596 3.81702 0.682785 1.47641 5.15552 4.78269 1.20197 0.602641 2.52689
500.00 1243.15 24.364432 65.8381 0.627494 12.4789 1.22146 3.52425 0.723512 1.33607 4.97938 4.82313 1.26565 0.638588 2.54351
500.00 1233.15 23.083814 66.7695 0.599414 12.0247 1.15055 3.25381 0.763651 1.21198 4.81772 4.84887 1.32745 0.674014 2.55833
500.00 1223.15 21.948547 67.6544 0.573505 11.5821 1.08307 3.00374 0.80315 1.10176 4.66874 4.86176 1.38733 0.708877 2.57163
500.00 1213.15 20.936767 68.4955 0.549534 11.152 1.01891 2.77233 0.841962 1.00349 4.53091 4.86342 1.44525 0.743134 2.58364
500.00 1203.15 20.030724 69.2953 0.527298 10.735 0.957946 2.55805 0.880047 0.915566 4.40293 4.85532 1.50117 0.776748 2.59455
500.00 1193.15 19.215835 70.0564 0.506621 10.3316 0.900082 2.35958 0.917367 0.83664 4.28368 4.83875 1.55507 0.809688 2.60452
500.00 1183.15 18.479999 70.7807 0.487347 9.94193 0.845212 2.17569 0.953894 0.765588 4.17223 4.81485 1.60693 0.841928 2.6137
500.00 1173.15 17.802632 71.5059 0.469587 9.56933 0.792794 2.00556 0.990189 0.700874 4.04492 4.78677 1.65769 0.85409 2.6223
500.00 1163.15 17.179805 72.224 0.453124 9.21252 0.742928 1.84808 1.02609 0.641994 3.90745 4.75473 1.7071 0.851577 2.63039
500.00 1153.15 16.613176 72.9066 0.437624 8.86835 0.695896 1.70213 1.06108 0.588736 3.77871 4.71766 1.75437 0.850904 2.63794
500.00 1143.15 16.096088 73.5552 0.422995 8.53659 0.651574 1.56689 1.09517 0.540455 3.65821 4.67628 1.79951 0.852083 2.64503
500.00 1133.15 15.622879 74.1713 0.409156 8.21698 0.609839 1.44158 1.12834 0.496594 3.54556 4.63124 1.84254 0.855151 2.65174
500.00 1123.15 15.188709 74.7561 0.396029 7.90918 0.570575 1.32552 1.1606 0.456671 3.44043 4.5831 1.88349 0.860167 2.65812
500.00 1113.15 14.789422 75.3109 0.383547 7.61288 0.533665 1.21807 1.19193 0.420269 3.34258 4.53235 1.92236 0.867213 2.66422
500.00 1103.15 14.421433 75.8367 0.371646 7.32771 0.498996 1.11863 1.22235 0.387022 3.25185 4.47942 1.95918 0.876398 2.6701
500.00 1093.15 14.041285 76.4197 0.347923 7.03188 0.465345 1.02332 1.2095 0.345385 3.18352 4.42181 1.99846 0.880337 2.67282
500.00 1083.15 13.689494 76.9827 0.325077 6.74676 0.430234 0.927441 1.1954 0.307412 3.1246 4.36344 2.03584 0.885721 2.67536
500.00 1073.15 13.367688 77.5128 0.303971 6.47458 0.396852 0.838194 1.18162 0.273036 3.07225 4.30497 2.07084 0.893153 2.67779
500.00 1063.15 13.072949 78.0105 0.284437 6.21486 0.365232 0.755428 1.16823 0.241899 3.02647 4.24663 2.10347 0.902741 2.68015
500.00 1053.15 12.802721 78.4765 0.266331 5.96709 0.335379 0.678922 1.15529 0.213688 2.98735 4.18862 2.13376 0.914618 2.68248
500.00 1043.15 12.554768 78.9113 0.249528 5.73081 0.307271 0.608411 1.14285 0.188136 2.95501 4.13114 2.16174 0.928944 2.68481
500.00 1033.15 12.327130 79.3157 0.23392 5.50558 0.280869 0.543604 1.13091 0.165014 2.92961 4.07434 2.18743 0.945911 2.68716
500.00 1023.15 11.985778 79.6465 0.219908 5.28966 0.254908 0.48089 1.12764 0.141989 2.91339 4.03826 2.23205 0.964029 2.69074
