Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.111287 42.444265 39.566592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.877673 
500.00 1513.15 100.111922 42.322344 39.526275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.796069 
500.00 1503.15 100.112597 42.200260 39.486074 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.714187 
500.00 1493.15 100.113312 42.078014 39.445990 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.632024 
500.00 1483.15 100.114069 41.955609 39.406027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.549581 
500.00 1473.15 100.114869 41.833045 39.366189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.466857 
500.00 1463.15 100.115713 41.710326 39.326477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.383850 
500.00 1453.15 100.116603 41.587455 39.286895 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.300560 
500.00 1443.15 100.117541 41.464434 39.247447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.216988 
500.00 1433.15 100.118527 41.341268 39.208134 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.133133 
500.00 1423.15 100.119564 41.217960 39.168962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.048998 
500.00 1413.15 100.120653 41.094516 39.129933 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.964584 
500.00 1403.15 100.120832 40.981552 38.975860 0.104794 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.900898 
500.00 1393.15 99.775271 40.804028 38.582206 0.230594 0.000000 0.082258 0.000000 0.000000 0.000000 0.000000 0.000000 1.908969 
500.00 1383.15 98.750519 40.905503 36.559110 0.019776 0.000000 1.584175 0.000000 0.000000 0.000000 0.000000 0.000000 2.742441 
500.00 1373.15 93.528585 39.647377 34.763657 0.021859 0.000000 1.401381 0.000000 0.000000 0.000000 0.000000 0.000000 3.460481 
500.00 1363.15 88.876132 39.242167 31.940687 0.228861 0.000000 1.037592 1.088179 0.000000 0.000000 0.000000 0.000000 4.946849 
500.00 1353.15 81.779121 38.068817 29.002432 0.304530 0.000000 0.716066 1.463493 0.000000 0.000000 0.000000 0.000000 6.582296 
500.00 1343.15 74.613367 37.538046 23.670357 0.110349 0.000000 1.522217 2.006316 0.000000 1.023511 0.000000 0.000000 9.205296 
500.00 1333.15 59.221036 33.820900 21.255477 0.125809 0.000000 0.526804 1.176424 0.000000 0.249023 0.000000 0.000000 10.487363 
500.00 1323.15 52.803357 32.620927 19.051182 0.000000 0.253949 0.280938 1.158369 0.000000 0.192235 0.000000 0.000000 11.684254 
500.00 1313.15 47.084937 31.477753 17.187798 0.000000 0.273165 0.116417 1.061724 0.000000 0.142695 0.000000 0.000000 12.695953 
500.00 1303.15 42.325401 30.455868 15.695040 0.000000 0.209939 0.072773 0.884469 0.000000 0.108363 0.000000 0.000000 13.485283 
500.00 1293.15 38.547746 29.627280 14.465519 0.000000 0.164900 0.047132 0.752720 0.000000 0.084654 0.000000 0.000000 14.112355 
500.00 1283.15 35.463521 28.928754 13.431495 0.000000 0.131495 0.031923 0.650510 0.000000 0.067579 0.000000 0.000000 14.615753 
500.00 1273.15 32.891087 28.321844 12.547961 0.000000 0.105962 0.022940 0.568541 0.000000 0.054869 0.000000 0.000000 15.021571 
500.00 1263.15 30.710005 27.781879 11.783759 0.000000 0.085985 0.017756 0.501025 0.000000 0.045155 0.000000 0.000000 15.348200 
500.00 1253.15 28.837061 27.292463 11.116368 0.000000 0.070097 0.014886 0.444347 0.000000 0.037575 0.000000 0.000000 15.609190 
500.00 1243.15 27.212316 26.842218 10.528932 0.000000 0.057311 0.013408 0.396114 0.000000 0.031564 0.000000 0.000000 15.814889 
500.00 1233.15 25.791101 26.422959 10.008456 0.000000 0.046932 0.012749 0.354661 0.000000 0.026730 0.000000 0.000000 15.973431 
500.00 1223.15 24.539171 26.028613 9.544682 0.000000 0.038451 0.012548 0.318773 0.000000 0.022801 0.000000 0.000000 16.091357 
500.00 1213.15 23.429657 25.654550 9.129357 0.000000 0.031484 0.012586 0.287528 0.000000 0.019575 0.000000 0.000000 16.174019 
500.00 1203.15 22.441080 25.297160 8.755740 0.000000 0.025736 0.012728 0.260200 0.000000 0.016906 0.000000 0.000000 16.225850 
500.00 1193.15 21.556015 24.953574 8.418257 0.000000 0.020977 0.012895 0.236202 0.000000 0.014681 0.000000 0.000000 16.250563 
500.00 1183.15 20.760149 24.621475 8.112260 0.000000 0.017023 0.013042 0.215053 0.000000 0.012814 0.000000 0.000000 16.251283 
500.00 1173.15 20.041599 24.299562 7.829910 0.000000 0.014244 0.012695 0.196984 0.000000 0.011256 0.000000 0.002725 16.231746 
500.00 1163.15 19.381106 23.982817 7.569638 0.000000 0.011764 0.012456 0.180631 0.000000 0.009919 0.000000 0.004757 16.193652 
500.00 1153.15 18.772866 23.670291 7.331955 0.000000 0.009297 0.012549 0.165578 0.000000 0.008765 0.000000 0.004130 16.138017 
500.00 1143.15 18.219582 23.364174 7.114255 0.000000 0.007232 0.012581 0.152179 0.000000 0.007778 0.000000 0.003570 16.066579 
500.00 1133.15 17.714734 23.063396 6.914310 0.000000 0.005499 0.012561 0.140213 0.000000 0.006932 0.000000 0.003064 15.980817 
500.00 1123.15 17.252776 22.767043 6.730212 0.000000 0.004039 0.012496 0.129491 0.000000 0.006202 0.000000 0.002600 15.882003 
500.00 1113.15 16.828968 22.474329 6.560311 0.000000 0.002808 0.012393 0.119854 0.000000 0.005571 0.000000 0.002170 15.771222 
500.00 1103.15 16.439241 22.184570 6.403183 0.000000 0.001767 0.012259 0.111165 0.000000 0.005023 0.000000 0.001765 15.649408 
500.00 1093.15 16.079144 21.907749 6.241593 0.010830 0.000000 0.006065 0.113892 0.000000 0.000000 0.002145 0.002467 15.530756 
