Title: Hr

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.183977 -1.71094e-011 6.02694e-012 1.86751e-011 -3.62884e-011 8.94223e-010 1.17052e-013 0 -5.67639e-011 7.01281e-013 -4.44123e-014 7.86309e-013 100
500.00 1513.15 0.179872 -1.15893e-013 0 2.45834e-014 0 0 0 0 2.70421e-013 0 0 0 100
500.00 1503.15 0.175691 1.24584e-012 0 -2.26516e-013 0 0 0 0 -1.66114e-013 0 0 0 100
500.00 1493.15 0.171431 -3.83038e-012 0 -4.38494e-013 0 0 0 0 1.98615e-013 0 0 0 100
500.00 1483.15 0.167092 2.12087e-012 0 -6.08664e-013 0 0 0 0 -4.36655e-013 0 0 0 100
500.00 1473.15 0.162671 1.92222e-013 0 -7.88304e-013 0 0 0 0 -1.64459e-013 0 0 0 100
500.00 1463.15 0.158165 -3.95395e-013 0 6.9893e-013 0 0 0 0 3.38286e-013 0 0 0 100
500.00 1453.15 0.153574 2.91838e-012 0 5.47068e-013 0 0 0 0 -3.64237e-013 0 0 0 100
500.00 1443.15 0.148894 2.7301e-012 0 3.26679e-013 0 0 0 0 4.90024e-014 0 0 0 100
500.00 1433.15 0.144124 5.78557e-013 0 1.53405e-013 0 0 0 0 3.8812e-013 0 0 0 100
500.00 1423.15 0.139260 8.68203e-012 0 -9.52575e-014 0 0 0 0 -2.61961e-013 0 0 0 100
500.00 1413.15 0.134302 5.04455e-012 0 -5.59722e-013 0 0 0 0 5.43266e-013 0 0 0 100
500.00 1403.15 0.652719 31.383 0 -1.96462e-013 0 13.9397 0.228469 33.9265 0.315876 0 0 0 20.2065
500.00 1393.15 0.944704 33.7877 0 9.82945e-014 0 15.552 0.253123 36.2117 0.347132 0 0 0 13.8483
500.00 1383.15 3.438284 46.3501 0.679147 4.18773 2.27003 6.52074 0.0290868 16.9621 17.9725 0.124345 0 0 4.90419
500.00 1373.15 4.760194 46.9335 0.87663 4.97984 2.69614 5.60044 0.000568598 14.248 19.7464 0.148786 0 0 4.76969
500.00 1363.15 4.347686 45.6079 0.997371 5.22476 2.82942 5.8391 0.00150186 13.6978 19.2288 0.157119 0 0 6.41623
500.00 1353.15 5.379641 44.1311 0.741382 12.3888 1.94508 5.53785 0.0283205 11.2096 16.7547 0.601424 0.00876119 0 6.65294
500.00 1343.15 14.878118 33.7837 2.79604 15.0752 12.8004 11.1666 0.0141993 7.60756 12.1066 0.825014 0.0133799 0 3.8113
500.00 1333.15 9.114716 37.9604 1.72063 16.8007 7.84935 8.37028 0 7.13502 11.1561 1.15535 0.0200206 0 7.83217
500.00 1323.15 7.678944 38.1165 1.43647 17.3127 6.53073 7.8664 0 6.67132 9.68969 1.39859 0.0257239 0 10.9518
500.00 1313.15 6.139836 36.7895 1.32856 16.8291 5.94377 7.35931 0 5.83833 9.00397 1.55286 0.0298672 0 15.3247
500.00 1303.15 5.130300 35.3263 1.22004 16.2041 5.38013 6.82296 0 5.09011 8.3102 1.68675 0.0339233 0 19.9255
500.00 1293.15 4.432443 33.783 1.11475 15.4786 4.8512 6.28293 0 4.42706 7.63179 1.79768 0.0378242 0 24.5951
500.00 1283.15 3.929032 32.2016 1.01503 14.6893 4.36271 5.75634 0 3.84558 6.98467 1.88452 0.0415106 0 29.2187
500.00 1273.15 3.553059 30.6127 0.922139 13.8664 3.91662 5.25393 0 3.33942 6.37836 1.94748 0.0449349 0 33.718
500.00 1263.15 3.263877 29.0366 0.836669 13.0325 3.51265 4.78195 0 2.90113 5.81762 1.98756 0.0480554 0 38.0453
500.00 1253.15 3.036119 27.4891 0.758682 12.2056 3.14888 4.34336 0 2.52282 5.30377 2.00667 0.0508471 0 42.1703
500.00 1243.15 2.853241 25.9824 0.687945 11.3992 2.82259 3.93902 0 2.19686 4.83594 2.00729 0.0532993 0 46.0755
500.00 1233.15 2.704064 24.5262 0.624053 10.6231 2.53069 3.56844 0 1.91621 4.41189 1.99213 0.0554147 0 49.7519
500.00 1223.15 2.580794 23.1279 0.566519 9.88396 2.27002 3.23029 0 1.67457 4.02869 1.96399 0.0572069 0 53.1968
500.00 1213.15 2.477832 21.793 0.51482 9.18596 2.03752 2.92278 0 1.46639 3.68305 1.9255 0.0586975 0 56.4123
500.00 1203.15 2.391055 20.5248 0.468433 8.53127 1.83031 2.64382 0 1.28688 3.37162 1.87907 0.0599137 0 59.4038
500.00 1193.15 2.317351 19.3255 0.426853 7.92052 1.6457 2.39123 0 1.13187 3.09112 1.82683 0.0608854 0 62.1795
500.00 1183.15 2.254332 18.1952 0.389605 7.35318 1.48126 2.16283 0 0.997831 2.83842 1.77057 0.0616435 0 64.7494
500.00 1173.15 2.200129 17.1334 0.356246 6.82789 1.33478 1.95649 0 0.88172 2.61065 1.71178 0.0622182 0 67.1248
500.00 1163.15 2.153259 16.1382 0.326372 6.34274 1.20427 1.77016 0 0.780955 2.40515 1.65167 0.0626385 0 69.3178
500.00 1153.15 2.112535 15.2072 0.299613 5.89545 1.08794 1.60196 0 0.693335 2.21953 1.5912 0.062931 0 71.3408
500.00 1143.15 2.076994 14.3375 0.275637 5.48356 0.984219 1.4501 0 0.61699 2.05162 1.53111 0.0631198 0 73.2061
500.00 1133.15 2.045847 13.5259 0.254145 5.10455 0.891679 1.31298 0 0.550329 1.8995 1.47195 0.0632269 0 74.9258
500.00 1123.15 2.018447 12.7688 0.23487 4.75589 0.80907 1.18912 0 0.491998 1.76144 1.41414 0.0632714 0 76.5114
500.00 1113.15 1.994255 12.0628 0.217575 4.43516 0.73528 1.07718 0 0.440846 1.63593 1.35797 0.0632705 0 77.974
500.00 1103.15 1.984949 11.6376 0.382475 4.19346 0.431287 0.998445 0.0108905 0.438575 1.59012 1.32172 0.0642855 0.0832025 78.848
500.00 1093.15 1.968170 10.9925 0.383641 3.91192 0.390155 0.935377 0.0122108 0.396679 1.52951 1.26485 0.0641582 0.122485 79.9965
500.00 1083.15 1.948557 10.3902 0.349335 3.65479 0.368864 0.858167 0.0116731 0.355237 1.39706 1.21086 0.0640228 0.0928024 81.247
500.00 1073.15 1.930971 9.83077 0.318716 3.4183 0.349201 0.787425 0.0111655 0.318646 1.2733 1.15944 0.0638867 0.0631804 82.406
500.00 1063.15 1.925405 9.50501 0.290566 3.24731 0.150956 0.893299 0.144207 0.296847 1.16293 1.129 0.0648348 0.0528236 83.0622
500.00 1053.15 1.932021 9.34824 0.229937 3.18139 0.0646621 1.16228 0.303252 0.276071 0.962895 1.1296 0.0675722 0.0632303 83.2109
500.00 1043.15 2.889055 33.4943 0.205145 4.13718 0.0603964 1.13499 0.322107 0.283906 1.58924 1.50492 0.103595 0.367615 56.7966
500.00 1033.15 3.752045 44.5775 0.182995 4.29052 0.0551738 1.02549 0.34069 0.262881 1.8001 1.60682 0.146703 0.524977 45.1861
