Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.115421 100.082757 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.032664 
500.00 1513.15 100.116071 100.087622 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.028450 
500.00 1503.15 100.116762 100.092605 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.024157 
500.00 1493.15 100.117495 100.097710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.019784 
500.00 1483.15 100.118270 100.102941 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.015329 
500.00 1473.15 100.119089 100.108300 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.010788 
500.00 1463.15 100.119953 100.113792 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.006161 
500.00 1453.15 100.120865 100.119420 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001445 
500.00 1443.15 100.121828 100.121828 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.122842 100.122842 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.123907 100.123907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.123960 99.734794 0.389167 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 100.122723 98.904118 1.218605 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 100.121384 98.087463 2.033921 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 100.121690 95.162017 2.481284 0.000000 2.466087 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.012301 
500.00 1373.15 100.124366 90.224640 2.617783 0.000000 7.207794 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.074149 
500.00 1363.15 100.124950 83.698377 3.244458 0.000000 11.144455 0.000000 1.862460 0.000000 0.000000 0.000000 0.000000 0.175199 
500.00 1353.15 100.120983 75.214886 4.511871 0.000000 13.894516 0.000000 6.172109 0.000000 0.000000 0.000000 0.000000 0.327601 
500.00 1343.15 100.268303 58.805297 4.451105 0.000000 19.253669 0.000000 12.354679 0.000000 4.830385 0.000000 0.000000 0.573168 
