Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.115421 40.029664 39.566863 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.462800 
500.00 1513.15 100.116071 39.926609 39.526469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.400140 
500.00 1503.15 100.116762 39.823441 39.486189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.337252 
500.00 1493.15 100.117495 39.720163 39.446027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.274137 
500.00 1483.15 100.118270 39.616779 39.405984 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.210795 
500.00 1473.15 100.119089 39.513292 39.366065 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.147228 
500.00 1463.15 100.119953 39.409707 39.326271 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.083435 
500.00 1453.15 100.120865 39.306027 39.286607 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.019420 
500.00 1443.15 100.121828 39.241236 39.241236 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.122842 39.193437 39.193437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.123907 39.145741 39.145741 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.123960 39.089457 38.971387 0.118070 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 100.122723 39.023579 38.654857 0.368722 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 100.121384 38.958296 38.344580 0.613716 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 100.121690 38.912598 37.253455 0.745942 0.000000 0.757099 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.156102 
500.00 1373.15 100.124366 39.300778 35.378970 0.783089 0.000000 2.205792 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.932926 
500.00 1363.15 100.124950 40.108322 32.865970 0.964708 0.000000 3.399380 0.000000 0.692926 0.000000 0.000000 0.000000 0.000000 2.185337 
500.00 1353.15 100.120983 41.459616 29.554878 1.331321 0.000000 4.223871 0.000000 2.298872 0.000000 0.000000 0.000000 0.000000 4.050673 
500.00 1343.15 100.268303 43.685824 23.809579 1.312636 0.000000 5.873291 0.000000 4.613014 0.000000 1.052853 0.000000 0.000000 7.024451 
500.00 1333.15 100.298304 45.015558 20.683149 1.412889 0.000000 6.563593 0.000000 6.234551 0.000000 1.311051 0.000000 0.000000 8.810326 
500.00 1323.15 100.338768 46.787793 16.483757 0.463222 1.777443 6.918466 0.000000 8.252904 0.000000 1.588796 0.000000 0.000000 11.303205 
500.00 1313.15 100.357399 48.049228 13.517568 0.000000 2.840799 7.019228 0.000000 9.870788 0.000000 1.738610 0.000000 0.000000 13.062234 
500.00 1303.15 100.358263 48.924866 11.482752 0.000000 3.183476 7.043674 0.000000 11.155757 0.000000 1.798596 0.000000 0.000000 14.260611 
500.00 1293.15 100.355185 49.618849 9.800256 0.000000 3.468385 7.051889 0.000000 12.238296 0.000000 1.831587 0.000000 0.000000 15.228437 
500.00 1283.15 100.349377 50.152120 8.416277 0.000000 3.710484 7.048937 0.000000 13.138364 0.000000 1.845124 0.000000 0.000000 15.992934 
500.00 1273.15 100.341756 50.546460 7.283524 0.000000 3.920814 7.036905 0.000000 13.878699 0.000000 1.844873 0.000000 0.000000 16.581644 
500.00 1263.15 100.333019 50.824315 6.358069 0.000000 4.107262 7.017166 0.000000 14.483939 0.000000 1.835131 0.000000 0.000000 17.022748 
500.00 1253.15 100.323410 51.011263 5.585009 0.000000 4.278507 6.990421 0.000000 14.983934 0.000000 1.818517 0.000000 0.005303 17.349572 
500.00 1243.15 100.313105 51.126264 4.926522 0.000000 4.439733 6.957514 0.000000 15.400911 0.000000 1.796765 0.000000 0.018282 17.586537 
500.00 1233.15 100.302864 51.177173 4.383607 0.000000 4.587488 6.921171 0.000000 15.742338 0.000000 1.772540 0.000000 0.028713 17.741316 
500.00 1223.15 100.289654 51.204056 3.897356 0.040401 4.698413 6.877808 0.000000 16.051137 0.000000 1.737337 0.000000 0.038834 17.862769 
500.00 1213.15 100.275381 51.200749 3.465883 0.089050 4.801720 6.831029 0.000000 16.321649 0.000000 1.697262 0.000000 0.048139 17.946018 
500.00 1203.15 100.261471 51.163140 3.090345 0.129052 4.908733 6.783748 0.000000 16.551406 0.000000 1.656873 0.000000 0.056208 17.986775 
500.00 1193.15 100.247988 51.096899 2.760830 0.161845 5.017945 6.736731 0.000000 16.747709 0.000000 1.616525 0.000000 0.063246 17.992068 
500.00 1183.15 100.234956 51.006649 2.469236 0.188679 5.128258 6.690581 0.000000 16.916428 0.000000 1.576382 0.000000 0.069419 17.967668 
500.00 1173.15 100.222373 50.896128 2.208944 0.210603 5.238947 6.645771 0.000000 17.062243 0.000000 1.536469 0.000000 0.074868 17.918282 
500.00 1163.15 100.210219 50.768346 1.974530 0.228487 5.349617 6.602670 0.000000 17.188869 0.000000 1.496707 0.000000 0.079711 17.847754 
500.00 1153.15 100.195862 50.669885 1.642778 0.248021 5.497880 6.558187 0.000000 17.369334 0.000000 1.393213 0.048286 0.086528 17.825658 
500.00 1143.15 100.181350 50.557680 1.323509 0.263864 5.648118 6.514484 0.000000 17.541064 0.000000 1.288112 0.097643 0.092920 17.787966 
500.00 1133.15 100.167051 50.428269 1.027847 0.276166 5.794427 6.472065 0.000000 17.698520 0.000000 1.189717 0.142013 0.098688 17.728824 
500.00 1123.15 100.152983 50.284050 0.751160 0.285657 5.936380 6.431001 0.000000 17.845159 0.000000 1.097497 0.181968 0.103967 17.651262 
500.00 1113.15 100.139138 50.127096 0.489205 0.292916 6.073909 6.391315 0.000000 17.984021 0.000000 1.010857 0.218032 0.108878 17.557963 
500.00 1103.15 100.121174 49.981017 0.161929 0.299771 6.243327 6.347788 0.000000 18.103916 0.057270 0.906475 0.258171 0.114942 17.487429 
500.00 1093.15 100.112239 49.781829 0.000000 0.302398 6.334937 6.317473 0.000000 18.090980 0.154746 0.852928 0.279780 0.117931 17.330657 
500.00 1083.15 100.112757 49.534522 0.000000 0.301831 6.346821 6.299503 0.000000 18.049757 0.190391 0.849218 0.284879 0.117931 17.094192 
500.00 1073.15 100.115119 49.339952 0.122470 0.291997 6.335360 6.313491 0.000000 18.005722 0.224458 0.853952 0.286982 0.000000 16.905520 
500.00 1063.15 100.115597 49.087361 0.122292 0.291539 6.345714 6.297490 0.000000 17.967102 0.257172 0.850331 0.291840 0.000000 16.663881 
500.00 1053.15 100.116059 48.832221 0.122123 0.290943 6.355449 6.282484 0.000000 17.929638 0.288498 0.846841 0.296510 0.000000 16.419735 
500.00 1043.15 100.114432 48.566564 0.121953 0.292291 6.395130 6.210136 0.078818 17.853800 0.318629 0.835676 0.287189 0.000000 16.172941 
500.00 1033.15 100.096589 48.237389 0.121710 0.309715 6.667914 5.700815 0.756164 17.473292 0.348538 0.764901 0.171000 0.000000 15.923339 
500.00 1023.15 100.077133 47.899968 0.121473 0.328409 6.955380 5.179318 1.462794 17.068072 0.377187 0.690462 0.046086 0.000000 15.670785 
500.00 1013.15 100.069292 47.601581 0.121293 0.336279 7.072801 4.965700 1.755097 16.876454 0.403908 0.654935 0.000000 0.000000 15.415114 
500.00 1003.15 100.068386 47.325115 0.121151 0.337483 7.090690 4.927995 1.806430 16.813115 0.429074 0.643055 0.000000 0.000000 15.156121 
500.00 993.15 100.067511 47.045470 0.121018 0.338274 7.106883 4.894567 1.852570 16.753054 0.453100 0.632418 0.000000 0.000000 14.893587 
500.00 983.15 100.066672 46.762345 0.120894 0.338654 7.121643 4.864864 1.894155 16.695951 0.476024 0.622878 0.000000 0.000000 14.627281 
500.00 973.15 100.065872 46.475413 0.120779 0.338629 7.135195 4.838424 1.931725 16.641516 0.497884 0.614312 0.000000 0.000000 14.356950 
500.00 963.15 100.065114 46.184328 0.120672 0.338205 7.147727 4.814851 1.965735 16.589494 0.518716 0.606614 0.000000 0.000000 14.082313 
500.00 953.15 100.064399 45.888740 0.120572 0.337393 7.159400 4.793812 1.996574 16.539684 0.538554 0.599691 0.000000 0.000000 13.803060 
