Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.115421 0.9996737386509970 0.988439 287.450606 -1187714.325046 40.029664 -1430.211694 5209.901872 151.715957 -7.007 0.000 2.529459 0.070579 1.560 0.999779 0.000
500.00 1513.15 100.116071 0.9997158314646696 0.989978 286.451573 -1189242.443688 39.926609 -1305.398726 5167.519364 151.712954 -7.116 0.000 2.532167 0.071100 1.596 0.999776 0.000
500.00 1503.15 100.116762 0.9997587087359624 0.991531 285.445963 -1190771.180933 39.823441 -1179.987718 5124.102940 151.710133 -7.225 0.000 2.534876 0.071630 1.633 0.999773 0.000
500.00 1493.15 100.117495 0.9998023898966119 0.993098 284.433685 -1192300.561344 39.720163 -1053.969563 5079.619166 151.707498 -7.336 0.000 2.537587 0.072169 1.670 0.999769 0.000
500.00 1483.15 100.118270 0.9998468949493279 0.994679 283.414647 -1193830.610500 39.616779 -927.335092 5034.033039 151.705053 -7.449 0.000 2.540298 0.072718 1.707 0.999766 0.000
500.00 1473.15 100.119089 0.9998922446013228 0.996274 282.404014 -1195338.822660 39.513292 -800.074774 4987.307778 148.410766 -7.563 0.000 2.543010 0.073277 1.745 0.999762 0.000
500.00 1463.15 100.119953 0.9999384604157093 0.997883 281.393624 -1196837.322759 39.409707 -672.178377 4939.404608 148.400202 -7.679 0.000 2.545723 0.073846 1.784 0.999758 0.000
500.00 1453.15 100.120865 0.9999855642519567 0.999506 280.376400 -1198336.482226 39.306027 -543.636542 4890.283181 148.389290 -7.796 0.000 2.548436 0.074425 1.823 0.999754 0.000
500.00 1443.15 100.121828 1.0000000000000000 1.000000 279.353106 -1199835.130537 39.241236 -503.090227 4871.047293 148.378122 -7.915 0.000 2.551444 0.000000 1.863 0.997106 0.000
500.00 1433.15 100.122842 1.0000000000000000 1.000000 278.323189 -1201333.941718 39.193437 -500.927875 4865.041784 148.366665 -8.035 0.000 2.554582 0.000000 1.904 0.993283 0.000
500.00 1423.15 100.123907 1.0000000000000000 1.000000 277.286182 -1202833.455559 39.145741 -498.770720 4858.924441 148.354876 -8.157 0.000 2.557722 0.000000 1.946 0.989425 0.000
500.00 1413.15 100.123960 0.9961131524904457 0.996979 276.130753 -1204472.869504 39.089457 -496.380502 4844.417641 148.138291 -8.281 0.000 2.559180 3.296070 2.000 0.98699 0.000
500.00 1403.15 100.122723 0.9878288839135715 0.990551 274.845581 -1206261.632587 39.023579 -493.729777 4820.375695 147.691734 -8.407 0.000 2.558647 3.304941 2.066 0.986127 0.000
500.00 1393.15 100.121384 0.9796854517140167 0.984247 273.561559 -1208034.211580 38.958296 -491.097623 4796.444465 147.254664 -8.535 0.000 2.558053 3.314108 2.134 0.985123 0.000
500.00 1383.15 100.121690 0.9504635486621406 0.957362 271.685481 -1210642.533237 38.912598 -796.584416 4862.781530 146.081847 -8.664 0.000 2.554448 2.989299 2.201 0.999752 0.000
500.00 1373.15 100.124366 0.9011257070967789 0.900210 269.278592 -1214005.547830 39.300778 -2337.246576 5374.949536 144.216813 -8.795 0.000 2.550234 2.524276 2.285 0.999755 0.000
