Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.149319 50.0729 1.3562 14.7453 2.49857 9.85121 0.194296 6.87901 10.6671 2.23109 0.332453 0.153032 1.01886
500.00 1513.15 98.149963 50.0726 1.35619 14.7452 2.50509 9.84526 0.194295 6.87896 10.667 2.23108 0.33245 0.153031 1.01885
500.00 1503.15 98.150645 50.0722 1.35618 14.7451 2.51202 9.83894 0.194293 6.87892 10.667 2.23106 0.332448 0.15303 1.01884
500.00 1493.15 98.151369 50.0718 1.35617 14.745 2.51936 9.83225 0.194292 6.87886 10.6669 2.23104 0.332446 0.153029 1.01883
500.00 1483.15 98.152135 50.0715 1.35616 14.7449 2.52713 9.82516 0.19429 6.87881 10.6668 2.23103 0.332443 0.153028 1.01883
500.00 1473.15 98.152944 50.071 1.35615 14.7447 2.53533 9.81768 0.194289 6.87875 10.6667 2.23101 0.33244 0.153026 1.01882
500.00 1463.15 98.153798 50.0706 1.35614 14.7446 2.54399 9.80978 0.194287 6.87869 10.6666 2.23099 0.332437 0.153025 1.01881
500.00 1453.15 98.154698 50.0701 1.35612 14.7445 2.55312 9.80146 0.194285 6.87863 10.6665 2.23097 0.332434 0.153024 1.0188
500.00 1443.15 98.155645 50.0697 1.35611 14.7443 2.56274 9.79269 0.194283 6.87857 10.6664 2.23095 0.332431 0.153022 1.01879
500.00 1433.15 98.156643 50.0692 1.3561 14.7442 2.57285 9.78347 0.194281 6.8785 10.6663 2.23092 0.332428 0.153021 1.01878
500.00 1423.15 98.157691 50.0686 1.35608 14.744 2.58348 9.77377 0.194279 6.87842 10.6662 2.2309 0.332424 0.153019 1.01877
500.00 1413.15 97.095685 50.0637 1.3653 14.8551 2.59548 9.808 0.196404 6.77761 10.5641 2.25358 0.33606 0.154693 1.02991
500.00 1403.15 92.663814 50.0623 1.40227 15.3321 2.60733 9.97567 0.205798 6.34716 10.1206 2.35333 0.352133 0.162091 1.07917
500.00 1393.15 86.792902 50.1792 1.47138 15.3908 2.66573 10.303 0.217438 5.95539 9.66426 2.45255 0.374983 0.173056 1.15217
500.00 1383.15 81.002183 50.3558 1.55316 15.2852 2.73901 10.6669 0.229081 5.56367 9.23951 2.54732 0.400386 0.185427 1.23453
500.00 1373.15 75.970970 50.5355 1.63215 15.1779 2.80776 11.0051 0.240229 5.18907 8.8356 2.63727 0.425488 0.197707 1.31629
500.00 1363.15 71.553265 50.719 1.70855 15.0684 2.87247 11.3182 0.250877 4.83059 8.45148 2.72264 0.45033 0.209914 1.39756
500.00 1353.15 67.637368 50.9073 1.78253 14.9565 2.9335 11.6066 0.261007 4.48723 8.08629 2.80365 0.474953 0.222067 1.47847
500.00 1343.15 55.860909 55.2133 1.2357 15.5687 2.22852 8.1535 0.316042 3.71108 7.71235 3.22953 0.572203 0.268882 1.79016
500.00 1333.15 51.589535 56.4545 1.1437 15.5424 2.07824 7.4472 0.342208 3.35628 7.40018 3.38823 0.617592 0.291144 1.93838
500.00 1323.15 48.084353 57.5908 1.06153 15.4582 1.94659 6.8409 0.367154 3.04462 7.11148 3.52608 0.660574 0.312368 2.07968
500.00 1313.15 45.119832 58.6397 0.99031 15.3332 1.82796 6.30447 0.391277 2.76854 6.84556 3.64783 0.701883 0.332891 2.21632
500.00 1303.15 42.582193 59.6162 0.926995 15.1808 1.71934 5.82386 0.414595 2.52539 6.59472 3.75538 0.741581 0.35273 2.3484
