Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.073529 49.0771 1.41618 15.742 2.51032 9.68964 0.196893 7.22489 11.332 2.31275 0.339643 0.158656 0
500.00 1513.15 98.074172 49.0767 1.41617 15.7419 2.51685 9.68368 0.196892 7.22484 11.3319 2.31274 0.339641 0.158655 0
500.00 1503.15 98.074855 49.0764 1.41616 15.7418 2.52378 9.67736 0.19689 7.22479 11.3319 2.31272 0.339639 0.158654 0
500.00 1493.15 98.075578 49.076 1.41615 15.7416 2.53113 9.67067 0.196889 7.22473 11.3318 2.31271 0.339636 0.158653 0
500.00 1483.15 98.075833 49.0759 1.41615 15.7416 2.53372 9.6683 0.196888 7.22472 11.3317 2.3127 0.339635 0.158653 0
500.00 1473.15 98.075533 49.0761 1.41615 15.7416 2.53067 9.67108 0.196889 7.22474 11.3318 2.31271 0.339636 0.158653 0
500.00 1463.15 98.075192 49.0762 1.41616 15.7417 2.52721 9.67424 0.19689 7.22476 11.3318 2.31272 0.339637 0.158654 0
500.00 1453.15 98.071617 49.078 1.41621 15.7423 2.49091 9.70734 0.196897 7.22503 11.3322 2.3128 0.33965 0.15866 0
500.00 1443.15 98.066557 49.0805 1.41628 15.7431 2.43955 9.75417 0.196907 7.2254 11.3328 2.31292 0.339667 0.158668 0
500.00 1433.15 98.060559 49.0835 1.41637 15.744 2.37864 9.8097 0.196919 7.22584 11.3335 2.31306 0.339688 0.158677 0
500.00 1423.15 98.054706 49.0865 1.41645 15.745 2.3192 9.8639 0.196931 7.22627 11.3342 2.3132 0.339708 0.158687 0
500.00 1413.15 98.048392 49.0896 1.41655 15.746 2.25508 9.92237 0.196944 7.22674 11.3349 2.31335 0.33973 0.158697 0
500.00 1403.15 98.040507 49.0936 1.41666 15.7473 2.17498 9.9954 0.196959 7.22732 11.3358 2.31353 0.339758 0.15871 0
500.00 1393.15 98.030700 49.0985 1.4168 15.7488 2.07535 10.0862 0.196979 7.22804 11.337 2.31376 0.339792 0.158726 0
500.00 1383.15 98.024765 49.1015 1.41689 15.7498 2.01505 10.1412 0.196991 7.22848 11.3376 2.3139 0.339812 0.158735 0
500.00 1373.15 98.023706 49.102 1.4169 15.75 2.00429 10.151 0.196993 7.22856 11.3378 2.31393 0.339816 0.158737 0
500.00 1363.15 98.025501 49.1011 1.41688 15.7497 2.02253 10.1344 0.19699 7.22843 11.3376 2.31389 0.33981 0.158734 0
500.00 1353.15 98.029279 49.0992 1.41682 15.7491 2.06092 10.0994 0.196982 7.22815 11.3371 2.3138 0.339796 0.158728 0
500.00 1343.15 98.034684 49.0965 1.41674 15.7482 2.11583 10.0493 0.196971 7.22775 11.3365 2.31367 0.339778 0.158719 0
