Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.271532 98.271532 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.272180 98.272180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.272869 98.272869 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.273599 98.273599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.274372 98.274372 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.275188 98.275188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.276050 98.276050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.276958 98.276958 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.277914 98.277914 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.278920 98.278920 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.279224 98.006594 0.272630 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.278098 96.889072 1.050869 0.000000 0.338157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.275749 89.331969 1.973975 0.000000 3.855931 3.113875 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.273251 82.608637 2.858880 0.000000 6.828388 5.977346 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.270815 76.693881 3.683400 0.000000 9.416372 8.477162 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.268423 71.416560 4.472461 0.000000 11.697675 10.681727 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.266046 66.646354 5.248329 0.000000 13.728490 12.642872 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.263637 62.281913 6.031926 0.000000 15.548621 14.401178 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.434113 50.861554 4.725293 0.000000 20.520952 16.890556 0.000000 5.435759 0.000000 0.000000 0.000000 
500.00 1333.15 98.460186 46.341493 4.011457 1.381784 21.757893 18.661007 0.000000 6.306551 0.000000 0.000000 0.000000 
500.00 1323.15 98.491965 39.491681 1.569058 5.805615 22.469416 21.792994 0.000000 7.277042 0.000000 0.000000 0.086159 
500.00 1313.15 98.510423 32.148144 0.000000 9.298192 22.810005 26.016243 0.000000 7.997014 0.000000 0.000000 0.240825 
500.00 1303.15 98.511280 27.143757 0.000000 10.442110 22.907901 29.357967 0.000000 8.308118 0.000000 0.000000 0.351426 
