Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.271532 37.675974 37.675974 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.272180 37.639248 37.639248 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.272869 37.602584 37.602584 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.273599 37.565982 37.565982 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.274372 37.529443 37.529443 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.275188 37.492970 37.492970 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.276050 37.456565 37.456565 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.276958 37.420227 37.420227 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.277914 37.383961 37.383961 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.278920 37.347766 37.347766 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.279224 37.305496 37.222861 0.082635 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.278098 37.234730 36.812903 0.317617 0.000000 0.104211 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.275749 36.952318 34.011457 0.593597 0.000000 1.185426 1.161838 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.273251 36.703802 31.523351 0.855172 0.000000 2.094039 2.231241 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.270815 36.483017 29.341197 1.095818 0.000000 2.880237 3.165765 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.268423 36.284301 27.402041 1.323079 0.000000 3.568407 3.990774 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.266046 36.103437 25.658257 1.543550 0.000000 4.176139 4.725491 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.263637 35.937265 24.073109 1.763289 0.000000 4.715894 5.384972 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.434113 35.699260 20.549369 1.388630 0.000000 6.258166 6.322129 0.000000 1.180966 0.000000 0.000000 0.000000 
500.00 1333.15 98.460186 35.536144 18.951723 1.176760 0.418980 6.633812 6.987994 0.000000 1.366875 0.000000 0.000000 0.000000 
