Title: Hr

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.082756 -7.72058e-011 1.30636e-011 4.37076e-011 -7.96689e-011 1.92772e-009 2.97395e-013 0 -1.29631e-010 1.55903e-012 -9.87336e-014 1.74805e-012 100
500.00 1513.15 0.078497 -4.78017e-012 0 -1.12664e-012 0 0 0 0 7.74575e-013 0 0 0 100
500.00 1503.15 0.074157 -1.82719e-012 0 -1.78885e-012 0 0 0 0 -2.29572e-013 0 0 0 100
500.00 1493.15 0.069736 -4.9323e-012 0 1.64863e-012 0 0 0 0 6.62631e-013 0 0 0 100
500.00 1483.15 0.065231 0 0 1.35576e-012 0 0 0 0 -9.32095e-013 0 0 0 100
500.00 1473.15 0.060640 4.98458e-012 0 4.37518e-013 0 0 0 0 8.02127e-013 0 0 0 100
500.00 1463.15 0.055961 -1.02439e-011 0 -1.58032e-013 0 0 0 0 -7.8227e-013 0 0 0 100
500.00 1453.15 0.051193 -4.47927e-012 0 -6.91017e-013 0 0 0 0 9.50161e-014 0 0 0 100
500.00 1443.15 0.046331 -8.9987e-013 0 -1.90882e-012 0 0 0 0 -1.20734e-012 0 0 0 100
500.00 1433.15 0.041375 -1.00767e-011 0 -2.99248e-012 0 0 0 0 1.76344e-013 0 0 0 100
500.00 1423.15 0.036321 2.55404e-011 0 3.65236e-012 0 0 0 0 1.47313e-012 0 0 0 100
500.00 1413.15 0.031167 1.23737e-011 0 3.12129e-012 0 0 0 0 -1.24853e-012 0 0 0 100
500.00 1403.15 0.688609 37.7736 0 5.13715e-014 0 16.1474 0.278892 41.173 0.399433 0 0 0 4.22769
500.00 1393.15 0.827329 38.0243 0 -1.06895e-014 0 16.8332 0.28878 41.1113 0.410077 0 0 0 3.33232
500.00 1383.15 5.121706 48.3187 0.888918 5.22383 2.73112 5.26986 0.00353907 14.9513 20.6647 0.148182 0 0 1.79989
500.00 1373.15 4.717594 47.1184 1.02598 5.53542 2.89081 5.46796 0.00356846 14.3415 20.2689 0.157933 0 0 3.18954
500.00 1363.15 5.671830 45.3384 0.818267 12.05 2.11492 5.20628 0.0256517 11.9247 17.8634 0.527257 0.00777865 0 4.12342
500.00 1353.15 7.815005 44.0924 0.44158 19.223 1.04518 4.92339 0.0590849 9.34427 15.0373 1.05024 0.0195909 0 4.76388
500.00 1343.15 15.152372 32.9901 2.99143 15.0583 13.4893 11.4295 0.0158586 7.46405 11.8432 0.857696 0.0154531 0 3.84528
500.00 1333.15 7.449964 35.9044 1.81605 16.5495 8.08158 8.3886 0.042356 6.92866 11.6751 1.20337 0.0227678 0 9.38762
500.00 1323.15 7.035042 37.8914 1.45022 17.2182 6.5471 7.56516 0 6.47388 9.75695 1.47034 0.0297517 0 11.597
500.00 1313.15 5.837370 37.0227 1.28747 16.9709 5.76835 7.06373 0 5.7712 8.78753 1.6698 0.035734 0 15.6226
500.00 1303.15 4.894444 35.5827 1.17729 16.3152 5.21403 6.53477 0 5.01467 8.06504 1.81868 0.0410411 0 20.2366
500.00 1293.15 4.240445 34.0608 1.07123 15.5584 4.6952 6.00445 0 4.34711 7.36577 1.94162 0.0462468 0 24.9091
500.00 1283.15 3.766700 32.4943 0.971504 14.7371 4.21741 5.48933 0 3.76424 6.70483 2.03686 0.0512561 0 29.5332
500.00 1273.15 3.411188 30.9105 0.879209 13.8818 3.78225 4.99948 0 3.25901 6.0906 2.1044 0.0559878 0 34.0367
500.00 1263.15 3.136344 29.3281 0.794766 13.0156 3.3891 4.54055 0 2.82322 5.52663 2.14533 0.0603694 0 38.3763
500.00 1253.15 2.918804 27.7632 0.718093 12.1571 3.03575 4.11505 0 2.4484 5.01314 2.16198 0.0643521 0 42.5229
500.00 1243.15 2.743350 26.2295 0.648846 11.3205 2.71929 3.72356 0 2.12648 4.54838 2.15732 0.0679097 0 46.4582
500.00 1233.15 2.599692 24.7389 0.586544 10.5162 2.43656 3.36541 0 1.85013 4.1294 2.13471 0.0710363 0 50.1711
500.00 1223.15 2.480630 23.301 0.530644 9.75145 2.18438 3.03923 0 1.61286 3.75273 2.0975 0.0737437 0 53.6565
500.00 1213.15 2.380965 21.9235 0.48059 9.03063 1.95973 2.74316 0 1.409 3.41467 2.04888 0.0760567 0 56.9138
500.00 1203.15 2.296840 20.6119 0.435836 8.3561 1.75974 2.47515 0 1.23368 3.11155 1.99171 0.0780094 0 59.9463
500.00 1193.15 2.225324 19.3696 0.395862 7.7285 1.5818 2.23303 0 1.0827 2.83984 1.92847 0.079641 0 62.7605
500.00 1183.15 2.164149 18.1981 0.360179 7.1472 1.42353 2.01462 0 0.952478 2.59624 1.86125 0.0809929 0 65.3655
500.00 1173.15 2.111528 17.0973 0.328339 6.61064 1.28275 1.8178 0 0.839975 2.3777 1.79175 0.0821068 0 67.7717
500.00 1163.15 2.066035 16.066 0.299929 6.11667 1.15752 1.64055 0 0.742597 2.18146 1.72132 0.0830229 0 69.991
500.00 1153.15 2.042429 15.0517 0.272308 5.64182 1.03736 1.49004 0 0.664121 2.34088 1.64536 0.0836035 0.279083 71.4937
500.00 1143.15 2.005044 14.1494 0.250184 5.22561 0.938885 1.34291 0 0.587886 2.13926 1.57601 0.0842932 0.243187 73.4624
500.00 1133.15 1.972666 13.3127 0.230348 4.8452 0.851187 1.21197 0 0.522472 1.95777 1.50851 0.0849037 0.21194 75.263
500.00 1123.15 1.944220 12.5344 0.212614 4.49665 0.773162 1.09409 0 0.465527 1.79212 1.44292 0.0854445 0.182235 76.9209
500.00 1113.15 1.919113 11.8105 0.196754 4.17727 0.703707 0.987901 0 0.415839 1.64031 1.37953 0.0859432 0.15371 78.4485
500.00 1103.15 1.897633 11.1605 0.200292 3.88952 0.618665 0.893372 0.00126912 0.376481 1.49998 1.32034 0.0865653 0.127945 79.8251
500.00 1093.15 1.884637 10.702 0.347328 3.65568 0.392742 0.842228 0.012648 0.370006 1.36407 1.27456 0.0881246 0.11616 80.8345
500.00 1083.15 1.896539 10.6305 0.292332 3.58018 0.0861009 1.20975 0.31118 0.370321 1.18511 1.2815 0.0934188 0.141615 80.818
500.00 1073.15 1.880475 10.0427 0.248216 3.35245 0.0704065 1.17174 0.328341 0.328602 1.04355 1.22404 0.093762 0.123406 81.9728
500.00 1063.15 1.860943 9.40098 0.226846 3.10178 0.0636285 1.06446 0.305868 0.29153 0.93753 1.15356 0.0927706 0.0966714 83.2644
500.00 1053.15 1.843378 8.80547 0.207978 2.87316 0.0575324 0.966178 0.284816 0.259133 0.837696 1.08748 0.0918354 0.0702474 84.4585
500.00 1043.15 1.827507 8.25244 0.191254 2.66435 0.0520368 0.876473 0.265204 0.230696 0.742948 1.0255 0.0909719 0.043806 85.5643
500.00 1033.15 1.813089 7.73832 0.176376 2.47334 0.0470726 0.794826 0.24701 0.205613 0.652261 0.967319 0.0901954 0.0169997 86.5907
500.00 1023.15 3.001502 37.7508 0.16721 3.60472 0.0490018 0.857061 0.298772 0.240905 1.44246 1.44187 0.174041 0.435838 53.5373
