Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.092789 37.534660 37.534660 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.093444 37.497893 37.497893 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.094140 37.461188 37.461188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.094876 37.424546 37.424546 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.095656 37.387967 37.387967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.096480 37.351455 37.351455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.097350 37.315010 37.315010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.098266 37.278634 37.278634 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.099231 37.242328 37.242328 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.100247 37.206095 37.206095 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.101007 37.167416 37.133537 0.033879 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.988057 37.059558 36.374566 0.314947 0.000000 0.000000 0.370045 0.000000 0.000000 
500.00 1403.15 95.952555 36.118030 33.649807 0.318444 0.000000 0.891440 1.258339 0.000000 0.000000 
500.00 1393.15 88.620196 33.411675 31.246856 0.248939 0.000000 0.879666 1.036214 0.000000 0.000000 
500.00 1383.15 82.142543 31.041220 29.187238 0.218499 0.000000 0.741946 0.893537 0.000000 0.000000 
500.00 1373.15 76.588914 29.007566 27.400781 0.194813 0.000000 0.632063 0.779910 0.000000 0.000000 
500.00 1363.15 71.770065 27.242171 25.834851 0.176349 0.000000 0.542976 0.687994 0.000000 0.000000 
500.00 1353.15 67.543850 25.693534 24.449106 0.162064 0.000000 0.469819 0.612545 0.000000 0.000000 
500.00 1343.15 63.989673 24.217041 20.613379 0.000000 0.000000 1.449855 0.914901 1.238905 0.000000 
500.00 1333.15 51.094101 20.506770 19.392413 0.000000 0.000000 0.454537 0.479589 0.180231 0.000000 
500.00 1323.15 47.510120 19.298296 18.280214 0.000000 0.094495 0.266941 0.518670 0.137975 0.000000 
500.00 1313.15 44.317275 18.689004 16.865998 0.000000 0.196183 0.139289 0.776779 0.124314 0.586442 
500.00 1303.15 40.578186 18.108172 15.427961 0.000000 0.202977 0.076919 0.842970 0.105991 1.451355 
500.00 1293.15 36.927981 17.414938 14.244788 0.000000 0.159517 0.050677 0.716971 0.082770 2.160215 
500.00 1283.15 33.950727 16.848874 13.250316 0.000000 0.127362 0.034833 0.619618 0.066076 2.750668 
