Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.092789 1.0000000000000000 1.000000 274.723487 -1162666.418490 37.534660 -368.909747 3736.066954 147.621713 -7.007 0.000 2.613392 0.000000 1.756 0.390429 0.000
500.00 1513.15 98.093444 1.0000000000000000 1.000000 273.752413 -1164152.172647 37.497893 -367.810770 3733.396932 147.621654 -7.116 0.000 2.615972 0.000000 1.795 0.389475 0.000
500.00 1503.15 98.094140 1.0000000000000000 1.000000 272.774946 -1165638.549438 37.461188 -366.714801 3730.669650 147.621796 -7.225 0.000 2.618554 0.000000 1.834 0.388512 0.000
500.00 1493.15 98.094876 1.0000000000000000 1.000000 271.790999 -1167125.573117 37.424546 -365.621913 3727.885388 147.622145 -7.336 0.000 2.621137 0.000000 1.874 0.387539 0.000
500.00 1483.15 98.095656 1.0000000000000000 1.000000 270.800481 -1168613.268969 37.387967 -364.532183 3725.044435 147.622710 -7.449 0.000 2.623723 0.000000 1.914 0.386557 0.000
500.00 1473.15 98.096480 1.0000000000000000 1.000000 269.818083 -1170079.837076 37.351455 -363.445690 3722.147093 144.434622 -7.563 0.000 2.626309 0.000000 1.955 0.385564 0.000
500.00 1463.15 98.097350 1.0000000000000000 1.000000 268.835899 -1171537.022727 37.315010 -362.362515 3719.193679 144.427373 -7.679 0.000 2.628898 0.000000 1.997 0.384562 0.000
500.00 1453.15 98.098266 1.0000000000000000 1.000000 267.847073 -1172994.872914 37.278634 -361.282746 3716.184520 144.419821 -7.796 0.000 2.631488 0.000000 2.039 0.38355 0.000
500.00 1443.15 98.099231 1.0000000000000000 1.000000 266.851515 -1174453.411646 37.242328 -360.206472 3713.119961 144.411965 -7.915 0.000 2.634079 0.000000 2.082 0.382528 0.000
500.00 1433.15 98.100247 1.0000000000000000 1.000000 265.849130 -1175912.664126 37.206095 -359.133787 3710.000362 144.403803 -8.035 0.000 2.636671 0.000000 2.125 0.381496 0.000
500.00 1423.15 98.101007 0.9988606590304795 0.999088 264.808132 -1177412.505883 37.167416 -357.995129 3704.456072 144.336971 -8.157 0.000 2.638834 3.299087 2.173 0.380658 0.000
500.00 1413.15 97.988057 0.9792343957579817 0.981516 263.011543 -1178200.341922 37.059558 -354.365122 3665.574366 143.400892 -8.281 0.000 2.637922 2.970517 2.237 0.390273 0.000
500.00 1403.15 95.952555 0.9235740085866990 0.931662 255.322261 -1155809.366892 36.118030 -342.068573 3537.171035 138.423807 -8.407 0.000 2.633575 2.971072 2.280 0.440669 0.000
500.00 1393.15 88.620196 0.9268932558880698 0.935208 235.578372 -1062873.495173 33.411675 -329.087975 3363.378905 127.392086 -8.535 0.000 2.628791 2.992737 2.323 0.493004 0.000
500.00 1383.15 82.142543 0.9323753006015588 0.940274 218.219297 -981083.690265 31.041220 -317.740640 3210.570085 117.736723 -8.664 0.000 2.624013 2.996179 2.367 0.545491 0.000
500.00 1373.15 76.588914 0.9370636951897668 0.944608 203.304630 -911223.807160 29.007566 -307.738223 3077.915953 109.454596 -8.795 0.000 2.619221 2.999917 2.412 0.597925 0.000
500.00 1363.15 71.770065 0.9410936089487154 0.948340 190.337146 -850847.048067 27.242171 -298.820107 2961.350197 102.266927 -8.929 0.000 2.614389 3.004090 2.458 0.650144 0.000
500.00 1353.15 67.543850 0.9445632589845627 0.951566 178.942793 -798120.491356 25.693534 -290.787933 2857.768039 95.963585 -9.064 0.000 2.609479 3.008941 2.505 0.702023 0.000
500.00 1343.15 63.989673 0.7980131618100507 0.851193 166.451396 -758100.510630 24.217041 -275.600170 2508.489258 87.097153 -9.201 0.000 2.477255 3.586649 3.135 0.836033 0.000
500.00 1333.15 51.094101 0.9294149960818264 0.945659 136.650961 -633329.350735 20.506770 -266.837380 2303.738054 71.994205 -9.340 0.000 2.448773 3.236373 3.296 0.900947 0.000
500.00 1323.15 47.510120 0.9323666139205287 0.947245 127.294328 -593936.458768 19.298296 -260.149161 2206.203833 66.901867 -9.481 0.000 2.423213 3.156200 3.439 0.969944 0.000
500.00 1313.15 44.317275 0.9141275104371873 0.902456 118.735669 -558167.678266 18.689004 -1430.071208 2590.844690 62.111274 -9.625 0.000 2.401971 2.087559 3.614 0.999962 0.000
500.00 1303.15 40.578186 0.9066682568549775 0.851989 108.983530 -514194.300309 18.108172 -3163.299059 3221.109865 56.694177 -9.771 0.000 2.384693 1.413035 3.810 0.999996 0.000
500.00 1293.15 36.927981 0.9140552302118482 0.817964 99.624431 -470323.560935 17.414938 -4588.661767 3753.549510 51.568328 -9.919 0.000 2.369583 1.001141 3.995 1.00003 0.000
500.00 1283.15 33.950727 0.9196031082326228 0.786421 91.950117 -434421.727561 16.848874 -5780.975811 4218.197584 47.392324 -10.069 0.000 2.356260 0.758507 4.169 1.00005 0.000
