Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.092789 1.0000000000000000 1.000000 274.723487 -1162666.418490 37.534660 -368.909747 3736.066954 147.621713 -7.007 0.000 2.613392 0.000000 1.756 0.390429 0.000
500.00 1513.15 98.093444 1.0000000000000000 1.000000 273.752413 -1164152.172647 37.497893 -367.810770 3733.396932 147.621654 -7.116 0.000 2.615972 0.000000 1.795 0.389475 0.000
500.00 1503.15 98.094140 1.0000000000000000 1.000000 272.774946 -1165638.549438 37.461188 -366.714801 3730.669650 147.621796 -7.225 0.000 2.618554 0.000000 1.834 0.388512 0.000
500.00 1493.15 98.094876 1.0000000000000000 1.000000 271.790999 -1167125.573117 37.424546 -365.621913 3727.885388 147.622145 -7.336 0.000 2.621137 0.000000 1.874 0.387539 0.000
500.00 1483.15 98.095656 1.0000000000000000 1.000000 270.800481 -1168613.268969 37.387967 -364.532183 3725.044435 147.622710 -7.449 0.000 2.623723 0.000000 1.914 0.386557 0.000
500.00 1473.15 98.096480 1.0000000000000000 1.000000 269.818083 -1170079.837076 37.351455 -363.445690 3722.147093 144.434622 -7.563 0.000 2.626309 0.000000 1.955 0.385564 0.000
500.00 1463.15 98.097350 1.0000000000000000 1.000000 268.835899 -1171537.022727 37.315010 -362.362515 3719.193679 144.427373 -7.679 0.000 2.628898 0.000000 1.997 0.384562 0.000
500.00 1453.15 98.098266 1.0000000000000000 1.000000 267.847073 -1172994.872914 37.278634 -361.282746 3716.184520 144.419821 -7.796 0.000 2.631488 0.000000 2.039 0.38355 0.000
500.00 1443.15 98.099231 1.0000000000000000 1.000000 266.851515 -1174453.411646 37.242328 -360.206472 3713.119961 144.411965 -7.915 0.000 2.634079 0.000000 2.082 0.382528 0.000
500.00 1433.15 98.100247 1.0000000000000000 1.000000 265.849130 -1175912.664126 37.206095 -359.133787 3710.000362 144.403803 -8.035 0.000 2.636671 0.000000 2.125 0.381496 0.000
500.00 1423.15 98.101007 0.9988606590304434 0.999088 264.808132 -1177412.505883 37.167416 -357.995129 3704.456072 144.336971 -8.157 0.000 2.638834 3.299087 2.173 0.380658 0.000
500.00 1413.15 98.098809 0.9781021899774660 0.980608 263.273601 -1179550.174846 37.093054 -354.386905 3667.076858 143.536376 -8.281 0.000 2.637910 2.986416 2.237 0.390285 0.000
500.00 1403.15 98.095782 0.9027400646619349 0.912984 260.382760 -1183569.221698 36.833509 -342.739361 3560.304027 141.031241 -8.407 0.000 2.633339 2.976751 2.280 0.441117 0.000
500.00 1393.15 98.093212 0.8346467284235204 0.851602 257.679208 -1187305.781765 36.586224 -332.157868 3462.635208 138.760234 -8.535 0.000 2.627770 2.987491 2.325 0.49523 0.000
500.00 1383.15 98.090711 0.7747449756607424 0.797156 255.193110 -1190714.696816 36.366501 -322.684406 3374.615536 136.761516 -8.664 0.000 2.621452 2.995286 2.373 0.551122 0.000
500.00 1373.15 98.088265 0.7212890802688649 0.748273 252.876385 -1193866.329192 36.168666 -314.095449 3293.874377 134.975308 -8.795 0.000 2.614170 3.002680 2.424 0.608841 0.000
500.00 1363.15 98.085848 0.6729447335113599 0.703891 250.691741 -1196814.637036 35.988474 -306.222541 3218.525292 133.355606 -8.929 0.000 2.605654 3.010320 2.479 0.668469 0.000
500.00 1353.15 98.083415 0.6286680134625525 0.663169 248.609380 -1199601.992617 35.822727 -298.935971 3147.012419 131.866148 -9.064 0.000 2.595576 3.018476 2.540 0.73013 0.000
500.00 1343.15 98.267485 0.5071175778568887 0.565869 244.703088 -1208034.169953 35.580163 -285.334151 2870.418231 127.892177 -9.201 0.000 2.475109 3.135630 3.091 0.871726 0.000
500.00 1333.15 98.288542 0.4662683429766246 0.528508 242.744429 -1211012.382534 35.455680 -278.631956 2794.963019 126.589687 -9.340 0.000 2.445692 3.138089 3.236 0.955965 0.000
500.00 1323.15 98.325482 0.3807643802744605 0.423268 240.013376 -1215263.813811 36.539369 -3517.410315 4001.856532 124.615457 -9.481 0.000 2.420728 2.889262 3.358 0.99993 0.000
500.00 1313.15 98.347386 0.3044117819251562 0.328686 237.500570 -1218947.096919 37.896572 -7270.972115 5466.250049 122.885708 -9.625 0.000 2.403495 2.688991 3.500 0.99997 0.000
500.00 1303.15 98.347687 0.2553219664867835 0.270719 235.500154 -1221569.227039 38.820366 -9753.673731 6469.245704 121.665948 -9.771 0.000 2.389320 2.586891 3.671 1.00002 0.000
500.00 1293.15 98.344219 0.2155267202656954 0.225284 233.706316 -1223839.570997 39.562743 -11781.840915 7323.152962 120.693555 -9.919 0.000 2.378116 2.517086 3.828 1.00006 0.000
500.00 1283.15 98.338188 0.1833908249718398 0.189588 232.077007 -1225836.920076 40.146105 -13411.973723 8048.214353 120.102962 -10.069 0.000 2.369441 2.468238 3.971 1.0001 0.000
