Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.098244 36.066456 36.066456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.098914 36.042808 36.042808 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.099624 36.019194 36.019194 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.100377 35.995613 35.995613 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.100553 35.936859 35.143948 0.000000 0.000000 0.000000 0.792911 0.000000 0.000000 0.000000 
500.00 1473.15 98.100155 35.848328 33.612348 0.000000 0.000000 0.000000 2.235980 0.000000 0.000000 0.000000 
500.00 1463.15 98.099711 35.761598 32.150618 0.000000 0.000000 0.000000 3.610980 0.000000 0.000000 0.000000 
500.00 1453.15 98.097236 35.547835 29.562850 0.098381 0.628650 0.000000 5.257954 0.000000 0.000000 0.000000 
500.00 1443.15 98.090707 35.128966 25.190463 0.288590 2.308496 0.000000 7.341418 0.000000 0.000000 0.000000 
500.00 1433.15 98.085561 34.653657 20.530616 0.000000 2.767200 1.796973 9.558868 0.000000 0.000000 0.000000 
500.00 1423.15 98.079253 34.313109 17.035758 0.000000 3.332083 2.610152 11.335116 0.000000 0.000000 0.000000 
500.00 1413.15 98.072255 34.014864 13.970202 0.000000 3.777625 3.306867 12.960170 0.000000 0.000000 0.000000 
500.00 1403.15 98.063272 33.738939 11.105767 0.000000 4.140301 3.929809 14.563062 0.000000 0.000000 0.000000 
500.00 1393.15 98.053532 33.498078 8.662482 0.000000 4.464788 4.457739 15.913069 0.000000 0.000000 0.000000 
500.00 1383.15 98.049193 33.334520 7.198936 0.000000 4.760955 4.824058 16.550571 0.000000 0.000000 0.000000 
500.00 1373.15 98.049148 33.214366 6.264763 0.000000 5.023491 5.112137 16.813975 0.000000 0.000000 0.000000 
500.00 1363.15 98.051667 33.111578 5.542752 0.000000 5.263710 5.384426 16.920690 0.000000 0.000000 0.000000 
500.00 1353.15 98.056129 33.014999 4.907892 0.000000 5.491159 5.672226 16.943721 0.000000 0.000000 0.000000 
500.00 1343.15 98.060913 32.917590 4.242236 0.064789 5.721252 5.948491 16.940822 0.000000 0.000000 0.000000 
500.00 1333.15 98.222028 32.891401 2.122026 0.185868 7.124623 4.900308 16.996618 1.511033 0.000000 0.050926 
500.00 1323.15 98.207714 32.846090 1.775682 0.229079 7.089381 5.012235 17.193399 1.485322 0.000000 0.060992 
500.00 1313.15 98.194184 32.805207 1.485475 0.260959 7.046185 5.124603 17.359954 1.458776 0.000000 0.069255 
500.00 1303.15 98.181444 32.767788 1.237562 0.284649 6.999041 5.234799 17.503263 1.432287 0.000000 0.076187 
500.00 1293.15 98.169451 32.733116 1.022184 0.302294 6.950318 5.341584 17.628364 1.406262 0.000000 0.082111 
500.00 1283.15 98.158140 32.700578 0.832276 0.315396 6.901439 5.444476 17.738877 1.380856 0.000000 0.087257 
500.00 1273.15 98.147442 32.669802 0.662621 0.325033 6.853259 5.543411 17.837594 1.356090 0.000000 0.091795 
500.00 1263.15 98.137288 32.640474 0.509305 0.331992 6.806291 5.638551 17.926571 1.331910 0.000000 0.095853 
500.00 1253.15 98.124655 32.592803 0.224822 0.338203 6.747895 5.814641 18.080865 1.228944 0.054058 0.103374 
500.00 1243.15 98.115350 32.552747 0.000000 0.341775 6.701570 5.951754 18.204076 1.140278 0.104082 0.109212 
500.00 1233.15 98.116287 32.543091 0.000000 0.343738 6.693574 5.941638 18.206184 1.135182 0.113563 0.109212 
500.00 1223.15 98.117243 32.533504 0.000000 0.345762 6.685470 5.931439 18.208510 1.130010 0.123100 0.109212 
500.00 1213.15 98.118214 32.523986 0.000000 0.347845 6.677254 5.921162 18.211057 1.124784 0.132671 0.109212 
500.00 1203.15 98.119199 32.514537 0.000000 0.349979 6.668920 5.910817 18.213826 1.119526 0.142257 0.109212 
500.00 1193.15 98.120734 32.516659 0.127359 0.340214 6.659715 5.905322 18.216377 1.117085 0.150588 0.000000 
500.00 1183.15 98.121719 32.507330 0.127125 0.342842 6.651191 5.894620 18.219636 1.111673 0.160243 0.000000 
