Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.039009 47.7384 1.43678 15.8156 2.54432 9.94868 0.200838 7.29332 11.1246 2.36426 0.351493 0.16167 1.02
500.00 1513.15 98.039662 47.7381 1.43677 15.8155 2.55095 9.94263 0.200837 7.29327 11.1245 2.36425 0.35149 0.161669 1.02
500.00 1503.15 98.040355 47.7378 1.43676 15.8154 2.55799 9.93621 0.200836 7.29322 11.1244 2.36423 0.351488 0.161668 1.01999
500.00 1493.15 98.041090 47.7374 1.43674 15.8153 2.56545 9.9294 0.200834 7.29317 11.1243 2.36421 0.351485 0.161667 1.01998
500.00 1483.15 98.041868 47.7371 1.43673 15.8152 2.57335 9.9222 0.200833 7.29311 11.1242 2.36419 0.351482 0.161666 1.01997
500.00 1473.15 98.042690 47.7367 1.43672 15.815 2.58169 9.91459 0.200831 7.29305 11.1241 2.36417 0.35148 0.161664 1.01996
500.00 1463.15 98.043557 47.7362 1.43671 15.8149 2.5905 9.90656 0.200829 7.29298 11.124 2.36415 0.351476 0.161663 1.01995
500.00 1453.15 98.044471 47.7358 1.43669 15.8148 2.59978 9.89809 0.200827 7.29292 11.1239 2.36413 0.351473 0.161661 1.01995
500.00 1443.15 98.045433 47.7353 1.43668 15.8146 2.60955 9.88918 0.200825 7.29284 11.1238 2.36411 0.35147 0.16166 1.01994
500.00 1433.15 98.046446 47.7348 1.43667 15.8144 2.61983 9.8798 0.200823 7.29277 11.1237 2.36408 0.351466 0.161658 1.01992
500.00 1423.15 98.047510 47.7343 1.43665 15.8143 2.63064 9.86995 0.200821 7.29269 11.1236 2.36406 0.351462 0.161656 1.01991
500.00 1413.15 95.155822 47.8281 1.48031 15.6069 2.68886 10.0175 0.203401 7.08472 11.1136 2.39775 0.361359 0.166569 1.05091
500.00 1403.15 86.601910 47.8316 1.57651 15.6869 2.78463 10.5599 0.220347 6.59834 10.4513 2.55707 0.395619 0.183021 1.15471
500.00 1393.15 80.197514 47.8919 1.66637 15.5906 2.87923 11.0204 0.233514 6.18256 9.98191 2.68323 0.425635 0.197637 1.24692
500.00 1383.15 74.712471 47.9616 1.75071 15.4937 2.96818 11.4544 0.246102 5.78351 9.53129 2.80459 0.4553 0.212147 1.33846
500.00 1373.15 69.957404 48.0416 1.82928 15.3963 3.052 11.8622 0.258113 5.4002 9.09812 2.92151 0.484655 0.226566 1.42944
500.00 1363.15 65.789785 48.1333 1.90161 15.2988 3.13109 12.2441 0.269542 5.03157 8.68101 3.03435 0.513751 0.240919 1.51999
500.00 1353.15 53.507750 52.4963 1.27146 16.195 2.38637 8.62533 0.331422 4.19647 8.10816 3.59538 0.629091 0.296219 1.86889
500.00 1343.15 49.318098 53.755 1.13564 16.3213 2.21316 7.85959 0.359577 3.87912 7.63427 3.81258 0.680739 0.321383 2.02765
500.00 1333.15 45.820539 54.9066 1.03202 16.3311 2.06902 7.21262 0.383697 3.55663 7.24534 4.00409 0.730592 0.345915 2.18243
500.00 1323.15 42.899254 55.9584 0.943704 16.2903 1.9407 6.64594 0.406201 3.27341 6.88777 4.17493 0.77814 0.36947 2.33104
500.00 1313.15 38.664675 57.3378 0.876914 15.9092 1.8324 6.11413 0.450715 2.90869 6.50992 4.40342 0.857971 0.409935 2.38883
500.00 1303.15 34.979273 58.691 0.82196 15.4369 1.73407 5.63103 0.498202 2.57243 6.18394 4.60756 0.941808 0.453125 2.42799
500.00 1293.15 31.960241 59.9579 0.772776 14.949 1.6412 5.19199 0.545263 2.28748 5.89496 4.7783 1.02364 0.495929 2.46153
500.00 1283.15 29.435515 61.1495 0.728488 14.4525 1.5531 4.79105 0.592031 2.04349 5.63752 4.91958 1.10369 0.538465 2.49052
500.00 1273.15 27.290816 62.274 0.688401 13.9531 1.46923 4.42346 0.638557 1.83276 5.40712 5.03478 1.18203 0.580781 2.51577
500.00 1263.15 25.446968 63.3375 0.651949 13.4553 1.38922 4.08543 0.684825 1.64942 5.20004 5.12686 1.25864 0.622864 2.53793
500.00 1253.15 23.846676 64.3449 0.618668 12.9629 1.31281 3.77387 0.730782 1.48891 5.01314 5.19847 1.33342 0.664663 2.55749
