Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.039009 37.503992 37.503992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.039662 37.466902 37.466902 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.040355 37.429874 37.429874 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.041090 37.392908 37.392908 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.041868 37.356006 37.356006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.042690 37.319170 37.319170 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.043557 37.282401 37.282401 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.044471 37.245701 37.245701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.045433 37.209071 37.209071 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.046446 37.172514 37.172514 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.047510 37.136031 37.136031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.045439 37.049334 36.038993 0.289746 0.000000 0.000000 0.720595 0.000000 0.000000 0.000000 
500.00 1403.15 95.157563 35.694122 32.877359 0.210866 0.000000 1.513764 1.092132 0.000000 0.000000 0.000000 
500.00 1393.15 86.603391 32.641845 30.501934 0.250559 0.000000 0.867531 1.021821 0.000000 0.000000 0.000000 
500.00 1383.15 80.199141 30.298679 28.468128 0.219658 0.000000 0.731372 0.879521 0.000000 0.000000 0.000000 
500.00 1373.15 74.714240 28.290571 26.705777 0.195523 0.000000 0.623347 0.765924 0.000000 0.000000 0.000000 
500.00 1363.15 69.959312 26.548972 25.162194 0.176610 0.000000 0.536562 0.673606 0.000000 0.000000 0.000000 
500.00 1353.15 65.959318 24.908834 21.396935 0.000000 0.000000 1.520599 0.870093 1.121207 0.000000 0.000000 
500.00 1343.15 53.543217 21.273089 19.976689 0.000000 0.000000 0.551884 0.522372 0.222144 0.000000 0.000000 
500.00 1333.15 49.344154 19.878562 18.773087 0.048903 0.000000 0.358178 0.534042 0.164351 0.000000 0.000000 
500.00 1323.15 45.842342 18.690665 17.756671 0.045202 0.000000 0.272116 0.487773 0.128904 0.000000 0.000000 
500.00 1313.15 42.919966 18.439120 16.135717 0.000000 0.213239 0.129308 0.920991 0.129161 0.000000 0.910704 
500.00 1303.15 38.757668 17.707488 14.701466 0.000000 0.203063 0.057895 0.862716 0.101835 0.000000 1.780513 
500.00 1293.15 35.143615 17.023995 13.516660 0.000000 0.159761 0.035463 0.736345 0.079633 0.000000 2.496134 
500.00 1283.15 32.185043 16.463028 12.517988 0.000000 0.127465 0.022628 0.637638 0.063591 0.000000 3.093718 
500.00 1273.15 29.712375 15.988741 11.663350 0.000000 0.102659 0.015466 0.557911 0.051615 0.000000 3.597741 
500.00 1263.15 27.613030 15.578149 10.923532 0.000000 0.083175 0.011709 0.491790 0.042441 0.000000 4.025502 
500.00 1253.15 25.809036 15.215987 10.277331 0.000000 0.067640 0.009969 0.435953 0.035272 0.000000 4.389823 
500.00 1243.15 24.243998 14.891653 9.708781 0.000000 0.055120 0.009390 0.388207 0.029580 0.000000 4.700574 
500.00 1233.15 22.875659 14.597502 9.205491 0.000000 0.044955 0.009446 0.347027 0.025004 0.000000 4.965579 
500.00 1223.15 21.671429 14.327846 8.757612 0.000000 0.036656 0.009815 0.311290 0.021285 0.000000 5.191189 
500.00 1213.15 20.605582 14.078329 8.357169 0.000000 0.029849 0.010305 0.280131 0.018236 0.000000 5.382639 
500.00 1203.15 19.657431 13.845775 7.996419 0.000000 0.024410 0.010683 0.253118 0.015727 0.000735 5.544683 
500.00 1193.15 18.807979 13.628112 7.662376 0.000000 0.020947 0.010185 0.230899 0.013695 0.006693 5.683318 
500.00 1183.15 18.021625 13.413808 7.361177 0.000000 0.016824 0.010691 0.209197 0.011904 0.005811 5.798204 
500.00 1173.15 17.315671 13.210841 7.088585 0.000000 0.013421 0.011091 0.190107 0.010402 0.005054 5.892182 
500.00 1163.15 16.679409 13.017478 6.841033 0.000000 0.010602 0.011389 0.173260 0.009135 0.004395 5.967666 
500.00 1153.15 16.103884 12.832286 6.615503 0.000000 0.008260 0.011592 0.158342 0.008060 0.003815 6.026713 
500.00 1143.15 15.581558 12.654075 6.409429 0.000000 0.006309 0.011713 0.145092 0.007145 0.003300 6.071087 
500.00 1133.15 15.106050 12.481840 6.220614 0.000000 0.004680 0.011763 0.133286 0.006361 0.002835 6.102301 
