Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.044077 1.0000000000000000 1.000000 265.366962 -1164448.124540 36.121613 -198.364136 2426.532808 146.338991 -7.007 0.000 2.714277 0.000000 2.077 0 0.000
500.00 1513.15 98.044737 1.0000000000000000 1.000000 264.404282 -1165921.181634 36.097932 -198.511508 2426.680575 146.342374 -7.116 0.000 2.716076 0.000000 2.119 0 0.000
500.00 1503.15 98.045437 1.0000000000000000 1.000000 263.435240 -1167394.902581 36.074284 -198.660143 2426.837433 146.345966 -7.225 0.000 2.717876 0.000000 2.161 0 0.000
500.00 1493.15 98.046179 1.0000000000000000 1.000000 262.459748 -1168869.311861 36.050670 -198.810114 2427.003662 146.349772 -7.336 0.000 2.719677 0.000000 2.204 0 0.000
500.00 1483.15 98.046964 1.0000000000000000 1.000000 261.477717 -1170344.434982 36.027090 -198.961497 2427.179551 146.353800 -7.449 0.000 2.721479 0.000000 2.247 0 0.000
500.00 1473.15 98.047232 0.9789382658500634 0.978453 260.038123 -1172476.086333 35.968700 -195.183606 2403.715127 142.644163 -7.563 0.000 2.727255 2.664569 2.265 0 0.000
500.00 1463.15 95.982977 0.9617030567251208 0.960665 253.201341 -1146629.213785 35.108231 -187.167769 2343.947460 139.238731 -7.679 0.000 2.736870 2.661790 2.257 0 0.000
500.00 1453.15 92.303762 0.8936234148676806 0.898656 240.879386 -1100724.189171 33.404062 -170.049191 2186.654790 131.706930 -7.796 0.000 2.747774 2.900475 2.278 0 0.000
500.00 1443.15 82.482827 0.8598438292716267 0.867337 213.678940 -975896.897262 29.593002 -147.907875 1937.071117 116.306088 -7.915 0.000 2.763162 2.944669 2.280 0 0.000
500.00 1433.15 70.921239 0.8610298023256603 0.867282 182.976325 -828545.277197 25.310125 -127.368477 1688.072727 99.418150 -8.035 0.000 2.781889 2.934099 2.264 0 0.000
500.00 1423.15 61.063960 0.8764487392979417 0.881191 156.992437 -703019.950753 21.677286 -110.972245 1487.569369 85.273948 -8.157 0.000 2.801795 2.929406 2.241 0 0.000
500.00 1413.15 53.518607 0.8880351725903846 0.891463 137.039294 -607258.209162 18.884352 -97.838254 1331.792634 74.427886 -8.281 0.000 2.823121 2.923529 2.208 0 0.000
500.00 1403.15 47.525924 0.8968068788062080 0.899035 121.149965 -531425.415315 16.656760 -86.960825 1206.627564 65.808246 -8.407 0.000 2.846182 2.916204 2.167 0 0.000
500.00 1393.15 42.621304 0.9033332800166661 0.904405 108.116064 -469517.309874 14.825687 -77.687410 1103.212816 58.754851 -8.535 0.000 2.871423 2.907047 2.115 0 0.000
500.00 1383.15 38.501059 0.9078549981661795 0.907735 97.144615 -417617.690478 13.280151 -69.560744 1015.607576 52.833725 -8.664 0.000 2.899527 2.895364 2.050 0 0.000
500.00 1373.15 34.953148 0.9102049952809542 0.908734 87.678614 -372997.782798 11.941865 -62.220554 939.504757 47.739682 -8.795 0.000 2.931681 2.879754 1.968 0 0.000
500.00 1363.15 31.814029 0.9092168562318562 0.905943 79.281553 -333559.913725 10.748877 -55.298224 871.251418 43.232985 -8.929 0.000 2.970449 2.856739 1.861 0 0.000
500.00 1353.15 28.924354 0.8978276794354068 0.890941 71.492082 -297299.325120 9.634670 -48.011675 805.595972 39.054723 -9.064 0.000 3.025316 2.812549 1.694 0 0.000
500.00 1343.15 25.961609 0.8225142019551693 0.799377 63.133556 -260448.446804 8.428259 -36.437379 720.984188 34.517171 -9.201 0.000 3.169461 2.725064 1.225 0 0.000
500.00 1333.15 21.352307 0.9135584575876878 0.902857 51.512410 -200764.024743 6.663989 -30.093207 646.089689 28.529788 -9.340 0.000 3.242110 2.851171 1.042 0 0.000
500.00 1323.15 19.507044 0.9429971289631028 0.937064 46.727100 -177792.037395 5.967726 -27.067926 610.590576 26.049103 -9.481 0.000 3.289453 2.960606 0.946 0 0.000
500.00 1313.15 18.408531 0.8104649755103675 0.819735 43.062942 -165569.606266 5.481736 -21.765185 504.869782 23.635695 -9.625 0.000 3.320183 3.530839 0.927 0 0.000
500.00 1303.15 14.926038 0.9034405455128789 0.905978 35.019727 -130121.837096 4.442012 -18.719672 435.470268 19.441222 -9.771 0.000 3.350786 3.450890 0.889 0 0.000
500.00 1293.15 13.491174 0.9103161981153876 0.913133 31.455499 -115459.510972 3.980761 -16.580695 392.874702 17.505442 -9.919 0.000 3.378640 3.498982 0.857 0 0.000
