Reference,Suite,Title,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI
Naldrett 2004,Morongovsky,Mr1,50.16,1.15,15.7,1.256934112,10.179,0.2,7.14,11.65,2.18,0.37,0.13,2.37
Naldrett 2004,Morongovsky,Mr2,49.61,1.16,16.16,1.26249085,10.224,0.2,7.44,11.56,2.04,0.34,0.13,2.03
Naldrett 2004,Mokulaevsky,Mk,49.47,1.27,15.93,1.306944753,10.584,0.2,7.25,11.52,2.19,0.31,0.14,1.99
Naldrett 2004,Kharaelakhsky,Hr,49.28,1.41,15.59,1.369180217,11.088,0.2,7.3,11.09,2.3,0.35,0.16,2.04
Krivolutskaya et al. 2001,Norilsk-1,N1,46.19,0.74,15.53,1.493651146,12.096,0.15,11.36,10.33,1.32,0.69,0.25,
Krivolutskaya et al. 2001,Norilsk 1 Gabbrodolerite,N1-GD,48.37,1.06,15.56,1.448085895,11.727,0.15,8.78,10.07,1.91,0.92,0.14,
Krivolutskaya et al. 2001,Talnakh,Tn1,46.64,1.01,14.89,1.435861072,11.628,0.19,11.04,10.08,1.94,1.11,0.18,
Krivolutskaya et al. 2001,Talnakh Gabbrodolerite,Tn1-GD,47.29,1.67,14.95,1.525880226,12.357,0.21,7.5,11.52,2.11,0.89,0.12,
Krivolutskaya et al. 2001,normal flood basalt,FB-normal,49.11,1.56,15.62,1.499207884,12.141,0.24,6.55,10.04,1.98,0.85,0.19,
Krivolutskaya et al. 2001,average flood basalt,FB-average,49.43,1.51,15.67,1.431415682,11.592,0.19,6.31,10.91,2.22,0.75,0.13,
Latypov 2002,Talnakh Picritic Gabbrodolerite,KZ-1879_1,35.9,0.43,6.12,7.91,10.32,0.21,23,4.5,0.75,0.11,0.06,6.08
Latypov 2002,Talnakh Picritic Gabbrodolerite,KZ-1879_2,38.4,0.37,5.71,6.45,9.21,0.2,25.3,4.36,0.69,0.14,0.06,7.11
Latypov 2002,Talnakh Picritic Gabbrodolerite,KZ-1879_3,38,0.36,5.66,5.7,9.88,0.21,24.9,3.5,0.6,0.12,0.05,8.6
Latypov 2002,Talnakh Picritic Gabbrodolerite,KZ-1879_4,40.5,0.51,7.2,5.44,9.31,0.2,23.8,5.49,5.85,0.17,0.06,4.85
Latypov 2002,Talnakh Picritic Gabbrodolerite,KZ-1879_5,42.2,0.56,7.46,4.41,10.23,0.22,24,5.85,8.63,0.22,0.08,3.07
